# Flight Log 
# 25 08 17 - 16:12:11
Time		X,Y,Z				goalX,goalY,goalZ		ddx,ddy,ddz			angularx,angulary,angularz	battery
16:12:11	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0
16:12:11	2.033695,3.844911,0.608809	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033695,3.844911,0.608809	0
16:12:11	2.033702,3.844911,0.608799	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033702,3.844911,0.608799	0
16:12:11	2.033694,3.844911,0.608815	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033694,3.844911,0.608815	0
16:12:11	2.033697,3.844909,0.608798	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033697,3.844909,0.608798	0
16:12:11	2.033697,3.844910,0.608797	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033697,3.844910,0.608797	0
16:12:11	2.033697,3.844908,0.608798	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033697,3.844908,0.608798	0
16:12:11	2.033699,3.844908,0.608798	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033699,3.844908,0.608798	0
16:12:12	2.033698,3.844914,0.608798	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033698,3.844914,0.608798	0
16:12:12	2.033695,3.844913,0.608800	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033695,3.844913,0.608800	0
16:12:12	2.033697,3.844914,0.608798	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033697,3.844914,0.608798	0
16:12:12	2.033712,3.844917,0.608788	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033712,3.844917,0.608788	0
16:12:12	2.033695,3.844914,0.608788	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033695,3.844914,0.608788	0
16:12:12	2.033692,3.844909,0.608801	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033692,3.844909,0.608801	0
16:12:12	2.033698,3.844909,0.608807	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033698,3.844909,0.608807	0
16:12:12	2.033700,3.844909,0.608806	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033700,3.844909,0.608806	0
16:12:12	2.033699,3.844911,0.608795	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033699,3.844911,0.608795	0
16:12:12	2.033692,3.844909,0.608797	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033692,3.844909,0.608797	0
16:12:13	2.033694,3.844911,0.608819	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033694,3.844911,0.608819	0
16:12:13	2.033697,3.844910,0.608800	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033697,3.844910,0.608800	0
16:12:13	2.033700,3.844907,0.608801	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033700,3.844907,0.608801	0
16:12:13	2.033708,3.844913,0.608787	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033708,3.844913,0.608787	0
16:12:13	2.033697,3.844908,0.608795	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033697,3.844908,0.608795	0
16:12:13	2.033692,3.844913,0.608810	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033692,3.844913,0.608810	0
16:12:13	2.033696,3.844912,0.608814	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033696,3.844912,0.608814	0
16:12:13	2.033688,3.844909,0.608803	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033688,3.844909,0.608803	0
16:12:13	2.033699,3.844909,0.608798	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033699,3.844909,0.608798	0
16:12:13	2.033698,3.844915,0.608806	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033698,3.844915,0.608806	0
16:12:14	2.033697,3.844922,0.608810	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033697,3.844922,0.608810	0
16:12:14	2.033694,3.844917,0.608807	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033694,3.844917,0.608807	0
16:12:14	2.033699,3.844910,0.608801	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033699,3.844910,0.608801	0
16:12:14	2.033694,3.844916,0.608797	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033694,3.844916,0.608797	0
16:12:14	2.033695,3.844910,0.608787	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033695,3.844910,0.608787	0
16:12:14	2.033702,3.844911,0.608800	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033702,3.844911,0.608800	0
16:12:14	2.033701,3.844912,0.608799	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033701,3.844912,0.608799	0
16:12:14	2.033703,3.844913,0.608792	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033703,3.844913,0.608792	0
16:12:14	2.033695,3.844913,0.608810	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033695,3.844913,0.608810	0
16:12:14	2.033696,3.844920,0.608800	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033696,3.844920,0.608800	0
16:12:15	2.033690,3.844915,0.608805	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033690,3.844915,0.608805	0
16:12:15	2.033704,3.844913,0.608809	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033704,3.844913,0.608809	0
16:12:15	2.033698,3.844912,0.608807	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033698,3.844912,0.608807	0
16:12:15	2.033694,3.844909,0.608799	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033694,3.844909,0.608799	0
16:12:15	2.033695,3.844912,0.608803	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033695,3.844912,0.608803	0
16:12:15	2.033707,3.844913,0.608809	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033707,3.844913,0.608809	0
16:12:15	2.033701,3.844908,0.608796	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033701,3.844908,0.608796	0
16:12:15	2.033700,3.844908,0.608807	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033700,3.844908,0.608807	0
