# Flight Log 
# 25 08 17 - 16:12:11
Time		X,Y,Z				goalX,goalY,goalZ		ddx,ddy,ddz			angularx,angulary,angularz	battery
16:12:11	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0
16:12:11	3.120433,1.570350,0.356244	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	3.120433,1.570350,0.356244	0
16:12:11	3.120436,1.570354,0.356226	2.972158,1.530475,0.446255	0.000000,0.000000,0.000000	3.120436,1.570354,0.356226	0
16:12:11	3.120445,1.570354,0.356227	2.972162,1.530483,0.446249	0.000000,0.000000,0.000000	3.120445,1.570354,0.356227	0
16:12:11	3.120424,1.570339,0.356242	2.972134,1.530537,0.446276	0.000000,0.000000,0.000000	3.120424,1.570339,0.356242	0
16:12:11	3.120401,1.570403,0.356266	2.972141,1.530542,0.446283	0.000000,0.000000,0.000000	3.120401,1.570403,0.356266	0
16:12:11	3.120433,1.570356,0.356225	2.972146,1.530480,0.446269	0.000000,0.000000,0.000000	3.120433,1.570356,0.356225	0
16:12:11	3.120414,1.570411,0.356250	2.972153,1.530479,0.446275	0.000000,0.000000,0.000000	3.120414,1.570411,0.356250	0
16:12:12	3.120418,1.570359,0.356223	2.972148,1.530471,0.446269	0.000000,0.000000,0.000000	3.120418,1.570359,0.356223	0
16:12:12	3.120424,1.570374,0.356244	2.972130,1.530522,0.446285	0.000000,0.000000,0.000000	3.120424,1.570374,0.356244	0
16:12:12	3.120396,1.570431,0.356256	2.972159,1.530484,0.446270	0.000000,0.000000,0.000000	3.120396,1.570431,0.356256	0
16:12:12	3.120418,1.570438,0.356258	2.972122,1.530535,0.446301	0.000000,0.000000,0.000000	3.120418,1.570438,0.356258	0
16:12:12	3.120436,1.570353,0.356211	2.972147,1.530475,0.446264	0.000000,0.000000,0.000000	3.120436,1.570353,0.356211	0
16:12:12	3.120397,1.570422,0.356266	2.972143,1.530528,0.446294	0.000000,0.000000,0.000000	3.120397,1.570422,0.356266	0
16:12:12	3.120429,1.570355,0.356244	2.972152,1.530478,0.446269	0.000000,0.000000,0.000000	3.120429,1.570355,0.356244	0
16:12:12	3.120411,1.570416,0.356256	2.972151,1.530473,0.446273	0.000000,0.000000,0.000000	3.120411,1.570416,0.356256	0
16:12:12	3.120411,1.570391,0.356195	2.972139,1.530533,0.446292	0.000000,0.000000,0.000000	3.120411,1.570391,0.356195	0
16:12:12	3.120413,1.570368,0.356238	2.972151,1.530477,0.446274	0.000000,0.000000,0.000000	3.120413,1.570368,0.356238	0
16:12:13	3.120406,1.570363,0.356260	2.972152,1.530532,0.446280	0.000000,0.000000,0.000000	3.120406,1.570363,0.356260	0
16:12:13	3.120395,1.570427,0.356285	2.972157,1.530478,0.446255	0.000000,0.000000,0.000000	3.120395,1.570427,0.356285	0
16:12:13	3.120426,1.570351,0.356230	2.972142,1.530534,0.446291	0.000000,0.000000,0.000000	3.120426,1.570351,0.356230	0
16:12:13	3.120399,1.570424,0.356254	2.972135,1.530531,0.446288	0.000000,0.000000,0.000000	3.120399,1.570424,0.356254	0
16:12:13	3.120433,1.570356,0.356231	2.972141,1.530483,0.446282	0.000000,0.000000,0.000000	3.120433,1.570356,0.356231	0
16:12:13	3.120396,1.570424,0.356277	2.972140,1.530448,0.446226	0.000000,0.000000,0.000000	3.120396,1.570424,0.356277	0
16:12:13	3.120414,1.570366,0.356259	2.972144,1.530474,0.446268	0.000000,0.000000,0.000000	3.120414,1.570366,0.356259	0
16:12:13	3.120391,1.570412,0.356270	2.972133,1.530533,0.446278	0.000000,0.000000,0.000000	3.120391,1.570412,0.356270	0
16:12:13	3.120409,1.570357,0.356240	2.972142,1.530540,0.446290	0.000000,0.000000,0.000000	3.120409,1.570357,0.356240	0
16:12:13	3.120400,1.570421,0.356267	2.972162,1.530476,0.446266	0.000000,0.000000,0.000000	3.120400,1.570421,0.356267	0
16:12:14	3.120416,1.570369,0.356240	2.972161,1.530465,0.446253	0.000000,0.000000,0.000000	3.120416,1.570369,0.356240	0
16:12:14	3.120415,1.570368,0.356246	2.972159,1.530484,0.446256	0.000000,0.000000,0.000000	3.120415,1.570368,0.356246	0
