# Flight Log 
# 25 08 17 - 14:20:45
Time		X,Y,Z				goalX,goalY,goalZ		ddx,ddy,ddz			angularx,angulary,angularz	battery
14:20:45	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0
14:20:45	2.033561,3.845194,0.609156	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033561,3.845194,0.609156	0
14:20:45	2.033561,3.845186,0.609155	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033561,3.845186,0.609155	0
14:20:45	2.033566,3.845170,0.609143	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033566,3.845170,0.609143	0
14:20:46	2.033560,3.845170,0.609136	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033560,3.845170,0.609136	0
14:20:46	2.033563,3.845188,0.609150	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033563,3.845188,0.609150	0
14:20:46	2.033558,3.845189,0.609141	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033558,3.845189,0.609141	0
14:20:46	2.033571,3.845190,0.609144	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033571,3.845190,0.609144	0
14:20:46	2.033569,3.845191,0.609156	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033569,3.845191,0.609156	0
14:20:46	2.033554,3.845202,0.609153	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033554,3.845202,0.609153	0
14:20:46	2.033556,3.845181,0.609140	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033556,3.845181,0.609140	0
14:20:46	2.033563,3.845192,0.609142	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033563,3.845192,0.609142	0
14:20:46	2.033571,3.845177,0.609150	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033571,3.845177,0.609150	0
14:20:46	2.033564,3.845191,0.609162	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033564,3.845191,0.609162	0
14:20:47	2.033568,3.845184,0.609145	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033568,3.845184,0.609145	0
14:20:47	2.033552,3.845181,0.609130	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033552,3.845181,0.609130	0
14:20:47	2.033561,3.845181,0.609147	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033561,3.845181,0.609147	0
14:20:47	2.033552,3.845183,0.609144	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033552,3.845183,0.609144	0
14:20:47	2.033571,3.845194,0.609149	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033571,3.845194,0.609149	0
14:20:47	2.033566,3.845245,0.609231	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033566,3.845245,0.609231	0
14:20:47	2.033569,3.845170,0.609145	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033569,3.845170,0.609145	0
14:20:47	2.033567,3.845176,0.609141	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033567,3.845176,0.609141	0
14:20:47	2.033597,3.845139,0.609072	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033597,3.845139,0.609072	0
14:20:47	2.033562,3.845173,0.609137	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033562,3.845173,0.609137	0
14:20:48	2.033563,3.845188,0.609145	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033563,3.845188,0.609145	0
14:20:48	2.033550,3.845177,0.609161	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033550,3.845177,0.609161	0
14:20:48	2.033564,3.845192,0.609153	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033564,3.845192,0.609153	0
14:20:48	2.033554,3.845181,0.609148	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033554,3.845181,0.609148	0
14:20:48	2.033573,3.845176,0.609132	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033573,3.845176,0.609132	0
14:20:48	2.033574,3.845184,0.609143	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033574,3.845184,0.609143	0
14:20:48	2.033563,3.845173,0.609135	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033563,3.845173,0.609135	0
14:20:48	2.033556,3.845185,0.609135	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033556,3.845185,0.609135	0
14:20:48	2.033567,3.845175,0.609140	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033567,3.845175,0.609140	0
14:20:48	2.033567,3.845185,0.609144	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033567,3.845185,0.609144	0
14:20:49	2.033565,3.845191,0.609147	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033565,3.845191,0.609147	0
14:20:49	2.033545,3.845184,0.609152	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033545,3.845184,0.609152	0
14:20:49	2.033546,3.845196,0.609132	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033546,3.845196,0.609132	0
14:20:49	2.033560,3.845179,0.609145	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033560,3.845179,0.609145	0
14:20:49	2.033574,3.845183,0.609155	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033574,3.845183,0.609155	0
14:20:49	2.033561,3.845179,0.609152	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033561,3.845179,0.609152	0
14:20:49	2.033566,3.845163,0.609128	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033566,3.845163,0.609128	0
14:20:49	2.033558,3.845158,0.609141	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033558,3.845158,0.609141	0
14:20:49	2.033557,3.845174,0.609145	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033557,3.845174,0.609145	0
