# Flight Log 
# 25 08 17 - 14:20:45
Time		X,Y,Z				goalX,goalY,goalZ		ddx,ddy,ddz			angularx,angulary,angularz	battery
14:20:45	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0
14:20:45	0.672914,2.226903,0.327517	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.672914,2.226903,0.327517	0
14:20:45	0.672890,2.226901,0.327552	0.806494,2.246869,0.499031	0.000000,0.000000,0.000000	0.672890,2.226901,0.327552	0
14:20:45	0.672905,2.226903,0.327514	0.806503,2.246862,0.499029	0.000000,0.000000,0.000000	0.672905,2.226903,0.327514	0
14:20:46	0.672884,2.226885,0.327546	0.806508,2.246858,0.498992	0.000000,0.000000,0.000000	0.672884,2.226885,0.327546	0
14:20:46	0.672899,2.226894,0.327514	0.806499,2.246861,0.499032	0.000000,0.000000,0.000000	0.672899,2.226894,0.327514	0
14:20:46	0.672856,2.226887,0.327596	0.806435,2.246847,0.498963	0.000000,0.000000,0.000000	0.672856,2.226887,0.327596	0
14:20:46	0.672905,2.226893,0.327509	0.806502,2.246871,0.498989	0.000000,0.000000,0.000000	0.672905,2.226893,0.327509	0
14:20:46	0.672869,2.226900,0.327557	0.806463,2.246850,0.499059	0.000000,0.000000,0.000000	0.672869,2.226900,0.327557	0
14:20:46	0.672854,2.226903,0.327551	0.806494,2.246868,0.499019	0.000000,0.000000,0.000000	0.672854,2.226903,0.327551	0
14:20:46	0.672895,2.226908,0.327523	0.806497,2.246878,0.499025	0.000000,0.000000,0.000000	0.672895,2.226908,0.327523	0
14:20:46	0.672875,2.226899,0.327547	0.806463,2.246860,0.499077	0.000000,0.000000,0.000000	0.672875,2.226899,0.327547	0
14:20:46	0.672904,2.226874,0.327544	0.806473,2.246856,0.499066	0.000000,0.000000,0.000000	0.672904,2.226874,0.327544	0
14:20:46	0.672902,2.226893,0.327544	0.806512,2.246858,0.499012	0.000000,0.000000,0.000000	0.672902,2.226893,0.327544	0
14:20:47	0.672906,2.226907,0.327520	0.806492,2.246855,0.499007	0.000000,0.000000,0.000000	0.672906,2.226907,0.327520	0
14:20:47	0.672846,2.226894,0.327596	0.806463,2.246860,0.499059	0.000000,0.000000,0.000000	0.672846,2.226894,0.327596	0
14:20:47	0.672873,2.226872,0.327551	0.676033,2.067150,0.344366	0.000000,0.000000,0.000000	0.672873,2.226872,0.327551	0
14:20:47	0.672897,2.226883,0.327521	0.676023,2.067133,0.344370	0.000000,0.000000,0.000000	0.672897,2.226883,0.327521	0
14:20:47	0.672891,2.226892,0.327544	0.676041,2.067120,0.344346	0.000000,0.000000,0.000000	0.672891,2.226892,0.327544	0
14:20:47	0.672886,2.226903,0.327568	0.676042,2.067137,0.344327	0.000000,0.000000,0.000000	0.672886,2.226903,0.327568	0
14:20:47	0.672875,2.226904,0.327578	0.675997,2.067151,0.344390	0.000000,0.000000,0.000000	0.672875,2.226904,0.327578	0
14:20:47	0.672902,2.226887,0.327507	0.676038,2.067160,0.344352	0.000000,0.000000,0.000000	0.672902,2.226887,0.327507	0
14:20:47	0.672870,2.226872,0.327561	0.676020,2.067134,0.344384	0.000000,0.000000,0.000000	0.672870,2.226872,0.327561	0
14:20:47	0.672892,2.226865,0.327543	0.676043,2.067141,0.344329	0.000000,0.000000,0.000000	0.672892,2.226865,0.327543	0
14:20:48	0.672909,2.226891,0.327516	0.676043,2.067132,0.344322	0.000000,0.000000,0.000000	0.672909,2.226891,0.327516	0
14:20:48	0.672882,2.226893,0.327560	0.676005,2.067133,0.344403	0.000000,0.000000,0.000000	0.672882,2.226893,0.327560	0
14:20:48	0.672886,2.226904,0.327564	0.676027,2.067168,0.344356	0.000000,0.000000,0.000000	0.672886,2.226904,0.327564	0
