# Flight Log 
# 25 08 17 - 17:19:14
Time		X,Y,Z				goalX,goalY,goalZ		ddx,ddy,ddz			angularx,angulary,angularz	battery
17:19:14	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0
17:19:14	3.120461,1.570347,0.356224	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	3.120461,1.570347,0.356224	0
17:19:14	3.120436,1.570411,0.356231	2.972193,1.530467,0.446253	0.000000,0.000000,0.000000	3.120436,1.570411,0.356231	0
17:19:15	3.120463,1.570356,0.356227	2.972170,1.530527,0.446259	0.000000,0.000000,0.000000	3.120463,1.570356,0.356227	0
17:19:15	3.120458,1.570425,0.356227	2.972196,1.530476,0.446255	0.000000,0.000000,0.000000	3.120458,1.570425,0.356227	0
17:19:15	3.120460,1.570364,0.356239	2.972191,1.530540,0.446255	0.000000,0.000000,0.000000	3.120460,1.570364,0.356239	0
17:19:15	3.120433,1.570420,0.356258	2.972159,1.530567,0.446240	0.000000,0.000000,0.000000	3.120433,1.570420,0.356258	0
17:19:15	3.120460,1.570361,0.356246	2.972166,1.530535,0.446282	0.000000,0.000000,0.000000	3.120460,1.570361,0.356246	0
17:19:15	3.120440,1.570417,0.356244	2.972192,1.530480,0.446271	0.000000,0.000000,0.000000	3.120440,1.570417,0.356244	0
17:19:15	3.120456,1.570363,0.356239	2.972174,1.530532,0.446271	0.000000,0.000000,0.000000	3.120456,1.570363,0.356239	0
17:19:15	3.120456,1.570352,0.356214	2.972188,1.530481,0.446266	0.000000,0.000000,0.000000	3.120456,1.570352,0.356214	0
17:19:15	3.120461,1.570358,0.356221	2.972189,1.530471,0.446244	0.000000,0.000000,0.000000	3.120461,1.570358,0.356221	0
17:19:15	3.120457,1.570380,0.356251	2.972194,1.530477,0.446250	0.000000,0.000000,0.000000	3.120457,1.570380,0.356251	0
17:19:16	3.120459,1.570359,0.356227	2.972190,1.530498,0.446276	0.000000,0.000000,0.000000	3.120459,1.570359,0.356227	0
17:19:16	3.120461,1.570355,0.356225	2.972191,1.530478,0.446255	0.000000,0.000000,0.000000	3.120461,1.570355,0.356225	0
17:19:16	3.120460,1.570366,0.356222	2.972193,1.530475,0.446253	0.000000,0.000000,0.000000	3.120460,1.570366,0.356222	0
17:19:16	3.120458,1.570369,0.356235	2.972193,1.530484,0.446251	0.000000,0.000000,0.000000	3.120458,1.570369,0.356235	0
17:19:16	3.120445,1.570406,0.356229	2.972190,1.530488,0.446262	0.000000,0.000000,0.000000	3.120445,1.570406,0.356229	0
17:19:16	3.120456,1.570345,0.356201	2.972179,1.530522,0.446257	0.000000,0.000000,0.000000	3.120456,1.570345,0.356201	0
17:19:16	3.120431,1.570433,0.356265	2.972189,1.530465,0.446233	0.000000,0.000000,0.000000	3.120431,1.570433,0.356265	0
17:19:16	3.120433,1.570433,0.356261	2.972164,1.530547,0.446288	0.000000,0.000000,0.000000	3.120433,1.570433,0.356261	0
17:19:16	3.120461,1.570355,0.356218	2.972167,1.530547,0.446285	0.000000,0.000000,0.000000	3.120461,1.570355,0.356218	0
17:19:16	3.120453,1.570349,0.356214	2.972194,1.530474,0.446247	0.000000,0.000000,0.000000	3.120453,1.570349,0.356214	0
17:19:17	3.120448,1.570352,0.356243	2.972186,1.530469,0.446244	0.000000,0.000000,0.000000	3.120448,1.570352,0.356243	0
17:19:17	3.120461,1.570374,0.356226	2.972180,1.530471,0.446269	0.000000,0.000000,0.000000	3.120461,1.570374,0.356226	0
17:19:17	3.120449,1.570354,0.356225	2.972193,1.530492,0.446254	0.000000,0.000000,0.000000	3.120449,1.570354,0.356225	0
17:19:17	3.120442,1.570410,0.356239	2.972181,1.530474,0.446254	0.000000,0.000000,0.000000	3.120442,1.570410,0.356239	0
17:19:17	3.120449,1.570367,0.356226	2.972175,1.530526,0.446266	0.000000,0.000000,0.000000	3.120449,1.570367,0.356226	0
17:19:17	3.120466,1.570369,0.356217	2.972182,1.530485,0.446255	0.000000,0.000000,0.000000	3.120466,1.570369,0.356217	0
17:19:17	3.120461,1.570362,0.356222	2.972199,1.530488,0.446246	0.000000,0.000000,0.000000	3.120461,1.570362,0.356222	0
17:19:17	3.120414,1.570371,0.356200	2.972193,1.530481,0.446251	0.000000,0.000000,0.000000	3.120414,1.570371,0.356200	0
17:19:17	3.120449,1.570370,0.356212	2.972147,1.530489,0.446233	0.000000,0.000000,0.000000	3.120449,1.570370,0.356212	0
17:19:17	3.120465,1.570375,0.356249	2.972182,1.530489,0.446242	0.000000,0.000000,0.000000	3.120465,1.570375,0.356249	0
17:19:18	3.120475,1.570370,0.356226	2.972198,1.530493,0.446274	0.000000,0.000000,0.000000	3.120475,1.570370,0.356226	0
17:19:18	3.120441,1.570359,0.356224	2.972208,1.530489,0.446254	0.000000,0.000000,0.000000	3.120441,1.570359,0.356224	0
17:19:18	3.120431,1.570422,0.356264	2.972173,1.530477,0.446253	0.000000,0.000000,0.000000	3.120431,1.570422,0.356264	0
