# Flight Log 
# 25 08 17 - 17:18:18
Time		X,Y,Z				goalX,goalY,goalZ		ddx,ddy,ddz			angularx,angulary,angularz	battery
17:18:18	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0
17:18:18	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0
17:18:18	0.672479,2.226604,0.327313	0.675327,2.082531,0.466421	0.000000,0.000000,0.000000	0.672479,2.226604,0.327313	0
17:18:18	0.672481,2.226611,0.327312	0.675345,2.082489,0.466494	0.000000,0.000000,0.000000	0.672481,2.226611,0.327312	0
17:18:18	0.672533,2.226648,0.327403	0.675373,2.082583,0.466488	0.000000,0.000000,0.000000	0.672533,2.226648,0.327403	0
17:18:18	0.672477,2.226615,0.327311	0.675332,2.082538,0.466425	0.000000,0.000000,0.000000	0.672477,2.226615,0.327311	0
17:18:19	0.672508,2.226556,0.327394	0.675370,2.082584,0.466479	0.000000,0.000000,0.000000	0.672508,2.226556,0.327394	0
17:18:19	0.672477,2.226603,0.327316	0.675380,2.082586,0.466482	0.000000,0.000000,0.000000	0.672477,2.226603,0.327316	0
17:18:19	0.672443,2.226509,0.327314	0.675371,2.082583,0.466494	0.000000,0.000000,0.000000	0.672443,2.226509,0.327314	0
17:18:19	0.672531,2.226646,0.327395	0.675370,2.082586,0.466497	0.000000,0.000000,0.000000	0.672531,2.226646,0.327395	0
17:18:19	0.672541,2.226651,0.327390	0.675313,2.082547,0.466423	0.000000,0.000000,0.000000	0.672541,2.226651,0.327390	0
17:18:19	0.672527,2.226651,0.327393	0.675369,2.082585,0.466489	0.000000,0.000000,0.000000	0.672527,2.226651,0.327393	0
17:18:19	0.672490,2.226602,0.327320	0.675331,2.082549,0.466423	0.000000,0.000000,0.000000	0.672490,2.226602,0.327320	0
17:18:19	0.672496,2.226606,0.327308	0.675383,2.082577,0.466495	0.000000,0.000000,0.000000	0.672496,2.226606,0.327308	0
17:18:19	0.672531,2.226634,0.327396	0.675326,2.082548,0.466430	0.000000,0.000000,0.000000	0.672531,2.226634,0.327396	0
17:18:19	0.672528,2.226652,0.327399	0.675379,2.082581,0.466481	0.000000,0.000000,0.000000	0.672528,2.226652,0.327399	0
17:18:20	0.672542,2.226649,0.327401	0.675358,2.082497,0.466498	0.000000,0.000000,0.000000	0.672542,2.226649,0.327401	0
17:18:20	0.672488,2.226601,0.327314	0.675369,2.082576,0.466491	0.000000,0.000000,0.000000	0.672488,2.226601,0.327314	0
17:18:20	0.672546,2.226646,0.327396	0.675328,2.082541,0.466430	0.000000,0.000000,0.000000	0.672546,2.226646,0.327396	0
17:18:20	0.672533,2.226655,0.327404	0.675381,2.082578,0.466487	0.000000,0.000000,0.000000	0.672533,2.226655,0.327404	0
17:18:20	0.672460,2.226513,0.327318	0.675329,2.082547,0.466422	0.000000,0.000000,0.000000	0.672460,2.226513,0.327318	0
17:18:20	0.672480,2.226603,0.327316	0.675326,2.082555,0.466427	0.000000,0.000000,0.000000	0.672480,2.226603,0.327316	0
17:18:20	0.672527,2.226644,0.327402	0.675323,2.082541,0.466424	0.000000,0.000000,0.000000	0.672527,2.226644,0.327402	0
17:18:20	0.672534,2.226650,0.327403	0.675370,2.082589,0.466491	0.000000,0.000000,0.000000	0.672534,2.226650,0.327403	0
17:18:20	0.672536,2.226649,0.327389	0.675372,2.082595,0.466499	0.000000,0.000000,0.000000	0.672536,2.226649,0.327389	0
17:18:20	0.672477,2.226596,0.327320	0.675306,2.082453,0.466435	0.000000,0.000000,0.000000	0.672477,2.226596,0.327320	0
17:18:21	0.672479,2.226606,0.327316	0.675334,2.082541,0.466420	0.000000,0.000000,0.000000	0.672479,2.226606,0.327316	0
17:18:21	0.672449,2.226513,0.327315	0.675329,2.082531,0.466425	0.000000,0.000000,0.000000	0.672449,2.226513,0.327315	0
17:18:21	0.672483,2.226600,0.327316	0.675325,2.082545,0.466423	0.000000,0.000000,0.000000	0.672483,2.226600,0.327316	0
17:18:21	0.672483,2.226604,0.327310	0.675327,2.082543,0.466418	0.000000,0.000000,0.000000	0.672483,2.226604,0.327310	0
17:18:21	0.672506,2.226548,0.327392	0.675323,2.082537,0.466422	0.000000,0.000000,0.000000	0.672506,2.226548,0.327392	0
17:18:21	0.672485,2.226608,0.327312	0.675326,2.082538,0.466416	0.000000,0.000000,0.000000	0.672485,2.226608,0.327312	0
17:18:21	0.672480,2.226612,0.327313	0.675340,2.082545,0.466426	0.000000,0.000000,0.000000	0.672480,2.226612,0.327313	0
17:18:21	0.672527,2.226643,0.327397	0.675340,2.082484,0.466497	0.000000,0.000000,0.000000	0.672527,2.226643,0.327397	0
17:18:21	0.672476,2.226603,0.327317	0.675330,2.082542,0.466426	0.000000,0.000000,0.000000	0.672476,2.226603,0.327317	0
17:18:21	0.672538,2.226644,0.327398	0.675333,2.082540,0.466428	0.000000,0.000000,0.000000	0.672538,2.226644,0.327398	0
17:18:22	0.672544,2.226640,0.327392	0.675331,2.082543,0.466424	0.000000,0.000000,0.000000	0.672544,2.226640,0.327392	0
17:18:22	0.672487,2.226599,0.327310	0.675377,2.082580,0.466486	0.000000,0.000000,0.000000	0.672487,2.226599,0.327310	0
17:18:22	0.672488,2.226604,0.327314	0.675370,2.082576,0.466489	0.000000,0.000000,0.000000	0.672488,2.226604,0.327314	0
17:18:22	0.672462,2.226500,0.327311	0.675378,2.082576,0.466492	0.000000,0.000000,0.000000	0.672462,2.226500,0.327311	0
17:18:22	0.672490,2.226601,0.327320	0.675354,2.082489,0.466505	0.000000,0.000000,0.000000	0.672490,2.226601,0.327320	0
17:18:22	0.672535,2.226643,0.327401	0.675332,2.082547,0.466424	0.000000,0.000000,0.000000	0.672535,2.226643,0.327401	0
17:18:22	0.672541,2.226643,0.327392	0.675375,2.082576,0.466497	0.000000,0.000000,0.000000	0.672541,2.226643,0.327392	0
17:18:22	0.672489,2.226602,0.327313	0.675326,2.082534,0.466415	0.000000,0.000000,0.000000	0.672489,2.226602,0.327313	0
17:18:22	0.672517,2.226552,0.327389	0.675379,2.082583,0.466486	0.000000,0.000000,0.000000	0.672517,2.226552,0.327389	0
17:18:22	0.672488,2.226604,0.327314	0.675328,2.082539,0.466418	0.000000,0.000000,0.000000	0.672488,2.226604,0.327314	0
17:18:23	0.672539,2.226647,0.327391	0.678775,2.082621,0.466333	0.000000,0.000000,0.000000	0.672539,2.226647,0.327391	0
17:18:23	0.672542,2.226637,0.327388	0.678776,2.082628,0.466328	0.000000,0.000000,0.000000	0.672542,2.226637,0.327388	0
17:18:23	0.672483,2.226602,0.327307	0.678771,2.082631,0.466334	0.000000,0.000000,0.000000	0.672483,2.226602,0.327307	0
17:18:23	0.672492,2.226614,0.327321	0.678798,2.082579,0.466401	0.000000,0.000000,0.000000	0.672492,2.226614,0.327321	0
17:18:23	0.672479,2.226600,0.327318	0.678770,2.082633,0.466339	0.000000,0.000000,0.000000	0.672479,2.226600,0.327318	0
17:18:23	0.672533,2.226642,0.327388	0.678825,2.082664,0.466406	0.000000,0.000000,0.000000	0.672533,2.226642,0.327388	0
17:18:23	0.672484,2.226598,0.327313	0.678769,2.082625,0.466337	0.000000,0.000000,0.000000	0.672484,2.226598,0.327313	0
17:18:23	0.672483,2.226611,0.327313	0.678764,2.082629,0.466336	0.000000,0.000000,0.000000	0.672483,2.226611,0.327313	0
17:18:23	0.672488,2.226603,0.327311	0.678774,2.082621,0.466339	0.000000,0.000000,0.000000	0.672488,2.226603,0.327311	0
17:18:23	0.672537,2.226646,0.327394	0.678783,2.082623,0.466336	0.000000,0.000000,0.000000	0.672537,2.226646,0.327394	0
17:18:24	0.672537,2.226643,0.327396	0.678823,2.082654,0.466396	0.000000,0.000000,0.000000	0.672537,2.226643,0.327396	0
17:18:24	0.672477,2.226612,0.327317	0.682446,2.083493,0.468989	0.000000,0.000000,0.000000	0.672477,2.226612,0.327317	0
17:18:24	0.672542,2.226644,0.327399	0.685885,2.083688,0.468685	0.000000,0.000000,0.000000	0.672542,2.226644,0.327399	0
17:18:24	0.672490,2.226603,0.327318	0.689732,2.084768,0.471261	0.000000,0.000000,0.000000	0.672490,2.226603,0.327318	0
17:18:24	0.672489,2.226600,0.327313	0.693605,2.085903,0.473686	0.000000,0.000000,0.000000	0.672489,2.226600,0.327313	0
17:18:24	0.672478,2.226595,0.327314	0.697705,2.087248,0.476213	0.000000,0.000000,0.000000	0.672478,2.226595,0.327314	0
17:18:24	0.672533,2.226650,0.327399	0.701858,2.088724,0.478643	0.000000,0.000000,0.000000	0.672533,2.226650,0.327399	0
17:18:24	0.672534,2.226643,0.327392	0.706129,2.090370,0.481023	0.000000,0.000000,0.000000	0.672534,2.226643,0.327392	0
17:18:24	0.672482,2.226605,0.327312	0.710449,2.092157,0.483267	0.000000,0.000000,0.000000	0.672482,2.226605,0.327312	0
17:18:24	0.672540,2.226645,0.327408	0.714932,2.094100,0.485561	0.000000,0.000000,0.000000	0.672540,2.226645,0.327408	0
17:18:25	0.672532,2.226635,0.327395	0.720400,2.097728,0.490915	0.000000,0.000000,0.000000	0.672532,2.226635,0.327395	0
17:18:25	0.672503,2.226602,0.327315	0.721447,2.099218,0.494372	0.000000,0.000000,0.000000	0.672503,2.226602,0.327315	0
17:18:25	0.672539,2.226645,0.327400	0.726243,2.101842,0.496406	0.000000,0.000000,0.000000	0.672539,2.226645,0.327400	0
17:18:25	0.672528,2.226646,0.327396	0.728450,2.105294,0.503435	0.000000,0.000000,0.000000	0.672528,2.226646,0.327396	0
17:18:25	0.672541,2.226644,0.327393	0.733470,2.108380,0.505374	0.000000,0.000000,0.000000	0.672541,2.226644,0.327393	0
17:18:25	0.672487,2.226604,0.327319	0.735992,2.112695,0.512701	0.000000,0.000000,0.000000	0.672487,2.226604,0.327319	0
17:18:25	0.672482,2.226611,0.327318	0.741190,2.116411,0.514319	0.000000,0.000000,0.000000	0.672482,2.226611,0.327318	0
17:18:25	0.672537,2.226643,0.327397	0.743932,2.121555,0.521829	0.000000,0.000000,0.000000	0.672537,2.226643,0.327397	0
17:18:25	0.672543,2.226647,0.327381	0.749170,2.125824,0.522899	0.000000,0.000000,0.000000	0.672543,2.226647,0.327381	0
17:18:25	0.672592,2.226457,0.327216	0.752172,2.132045,0.530469	0.000000,0.000000,0.000000	0.672592,2.226457,0.327216	0
17:18:26	0.672551,2.226633,0.327399	0.757388,2.136680,0.530734	0.000000,0.000000,0.000000	0.672551,2.226633,0.327399	0
17:18:26	0.672544,2.226642,0.327405	0.760297,2.144148,0.537958	0.000000,0.000000,0.000000	0.672544,2.226642,0.327405	0
17:18:26	0.672544,2.226646,0.327400	0.765323,2.149540,0.537497	0.000000,0.000000,0.000000	0.672544,2.226646,0.327400	0
17:18:26	0.672531,2.226638,0.327402	0.771501,2.159293,0.539592	0.000000,0.000000,0.000000	0.672531,2.226638,0.327402	0
17:18:26	0.672486,2.226604,0.327313	0.776018,2.165051,0.538078	0.000000,0.000000,0.000000	0.672486,2.226604,0.327313	0
17:18:26	0.672468,2.226604,0.327317	0.781389,2.175419,0.538359	0.000000,0.000000,0.000000	0.672468,2.226604,0.327317	0
17:18:26	0.672470,2.226599,0.327320	0.785167,2.181226,0.535697	0.000000,0.000000,0.000000	0.672470,2.226599,0.327320	0
17:18:26	0.672455,2.226594,0.327317	0.787052,2.190966,0.539170	0.000000,0.000000,0.000000	0.672455,2.226594,0.327317	0
17:18:26	0.672479,2.226598,0.327308	0.790267,2.196722,0.535604	0.000000,0.000000,0.000000	0.672479,2.226598,0.327308	0
17:18:26	0.672475,2.226596,0.327310	0.793198,2.202332,0.531810	0.000000,0.000000,0.000000	0.672475,2.226596,0.327310	0
17:18:27	0.672485,2.226611,0.327315	0.793732,2.207314,0.532702	0.000000,0.000000,0.000000	0.672485,2.226611,0.327315	0
17:18:27	0.672514,2.226605,0.327306	0.795769,2.207744,0.527762	0.000000,0.000000,0.000000	0.672514,2.226605,0.327306	0
17:18:27	0.672489,2.226604,0.327312	0.798112,2.213003,0.523633	0.000000,0.000000,0.000000	0.672489,2.226604,0.327312	0
17:18:27	0.672516,2.226597,0.327303	0.798426,2.217880,0.524118	0.000000,0.000000,0.000000	0.672516,2.226597,0.327303	0
17:18:27	0.672526,2.226638,0.327401	0.800327,2.222807,0.519633	0.000000,0.000000,0.000000	0.672526,2.226638,0.327401	0
17:18:27	0.672474,2.226607,0.327318	0.800354,2.227528,0.519753	0.000000,0.000000,0.000000	0.672474,2.226607,0.327318	0
17:18:27	0.672534,2.226644,0.327394	0.801964,2.227471,0.515178	0.000000,0.000000,0.000000	0.672534,2.226644,0.327394	0
17:18:27	0.672432,2.226507,0.327316	0.801922,2.232201,0.515067	0.000000,0.000000,0.000000	0.672432,2.226507,0.327316	0
17:18:27	0.672540,2.226647,0.327394	0.803278,2.236599,0.510476	0.000000,0.000000,0.000000	0.672540,2.226647,0.327394	0
17:18:27	0.672472,2.226607,0.327316	0.803026,2.241102,0.510085	0.000000,0.000000,0.000000	0.672472,2.226607,0.327316	0
17:18:28	0.672481,2.226596,0.327308	0.804101,2.245149,0.505430	0.000000,0.000000,0.000000	0.672481,2.226596,0.327308	0
17:18:28	0.672539,2.226634,0.327392	0.803621,2.249477,0.504796	0.000000,0.000000,0.000000	0.672539,2.226634,0.327392	0
17:18:28	0.672486,2.226601,0.327308	0.804546,2.253197,0.500227	0.000000,0.000000,0.000000	0.672486,2.226601,0.327308	0
17:18:28	0.672543,2.226647,0.327387	0.803852,2.257298,0.499331	0.000000,0.000000,0.000000	0.672543,2.226647,0.327387	0
17:18:28	0.672435,2.226504,0.327293	0.804539,2.260590,0.494823	0.000000,0.000000,0.000000	0.672435,2.226504,0.327293	0
17:18:28	0.672478,2.226608,0.327300	0.803738,2.264557,0.493776	0.000000,0.000000,0.000000	0.672478,2.226608,0.327300	0
17:18:28	0.672468,2.226594,0.327304	0.804283,2.267587,0.489383	0.000000,0.000000,0.000000	0.672468,2.226594,0.327304	0
17:18:28	0.672457,2.226607,0.327311	0.803362,2.271218,0.488301	0.000000,0.000000,0.000000	0.672457,2.226607,0.327311	0
17:18:28	0.672475,2.226593,0.327311	0.802369,2.274827,0.487089	0.000000,0.000000,0.000000	0.672475,2.226593,0.327311	0
17:18:28	0.672523,2.226647,0.327394	0.802751,2.277453,0.482768	0.000000,0.000000,0.000000	0.672523,2.226647,0.327394	0
17:18:29	0.672527,2.226655,0.327403	0.801737,2.280878,0.481553	0.000000,0.000000,0.000000	0.672527,2.226655,0.327403	0
17:18:29	0.672467,2.226603,0.327317	0.803020,2.279841,0.478613	0.000000,0.000000,0.000000	0.672467,2.226603,0.327317	0
17:18:29	0.672463,2.226607,0.327313	0.802040,2.283173,0.477479	0.000000,0.000000,0.000000	0.672463,2.226607,0.327313	0
17:18:29	0.672477,2.226599,0.327319	0.802164,2.285259,0.473431	0.000000,0.000000,0.000000	0.672477,2.226599,0.327319	0
17:18:29	0.672540,2.226647,0.327393	0.801141,2.288392,0.472270	0.000000,0.000000,0.000000	0.672540,2.226647,0.327393	0
17:18:29	0.672479,2.226601,0.327312	0.801221,2.290236,0.468409	0.000000,0.000000,0.000000	0.672479,2.226601,0.327312	0
