# Flight Log 
# 25 08 17 - 19:32:23
Time		X,Y,Z				goalX,goalY,goalZ		ddx,ddy,ddz			angularx,angulary,angularz	battery
19:32:23	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0
19:32:23	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0
19:32:23	0.948999,4.215587,0.389291	0.802657,4.079322,0.380922	-0.234712,0.129331,10.260264	0.948999,4.215587,0.389291	0
19:32:24	0.948993,4.215576,0.389298	0.816365,4.065902,0.393760	-0.222737,0.126936,10.253079	0.948993,4.215576,0.389298	3.77947211266
19:32:24	0.948992,4.215577,0.389289	0.802649,4.079303,0.380973	-0.220342,0.129331,10.250684	0.948992,4.215577,0.389289	3.77419352531
19:32:24	0.948991,4.215579,0.389284	0.816479,4.065787,0.393906	-0.227527,0.129331,10.250684	0.948991,4.215579,0.389284	3.77947211266
19:32:24	0.948958,4.215624,0.389247	0.802645,4.079322,0.381010	-0.229922,0.131726,10.255474	0.948958,4.215624,0.389247	3.77419352531
19:32:24	0.948994,4.215584,0.389292	0.802676,4.079267,0.380955	-0.229922,0.134121,10.253079	0.948994,4.215584,0.389292	3.77947211266
19:32:24	0.948983,4.215557,0.389292	0.816478,4.065800,0.393864	-0.220342,0.129331,10.262659	0.948983,4.215557,0.389292	3.77947211266
19:32:24	0.948993,4.215568,0.389283	0.816444,4.065914,0.393952	-0.232317,0.131726,10.245894	0.948993,4.215568,0.389283	3.77947211266
19:32:24	0.948992,4.215554,0.389285	0.816497,4.065752,0.393852	-0.227527,0.122146,10.248289	0.948992,4.215554,0.389285	3.77947211266
19:32:24	0.948983,4.215555,0.389281	0.816363,4.065942,0.393725	-0.232317,0.126936,10.236313	0.948983,4.215555,0.389281	3.77947211266
19:32:24	0.948943,4.215710,0.389185	0.816488,4.065751,0.393877	-0.227527,0.122146,10.255474	0.948943,4.215710,0.389185	3.77947211266
