# Flight Log 
# 25 08 17 - 19:31:26
Time		X,Y,Z				goalX,goalY,goalZ		ddx,ddy,ddz			angularx,angulary,angularz	battery
19:31:26	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0
19:31:26	0.952385,4.227045,0.389093	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.952385,4.227045,0.389093	0
19:31:26	0.952382,4.226942,0.389054	0.942098,4.425367,0.341818	-0.208367,0.141306,10.262659	0.952382,4.226942,0.389054	3.80586504936
19:31:26	0.952390,4.227029,0.389054	0.941911,4.425241,0.341133	-0.215552,0.141306,10.260264	0.952390,4.227029,0.389054	3.80586504936
19:31:26	0.952426,4.227067,0.389127	0.941911,4.425241,0.341133	-0.208367,0.146096,10.265054	0.952426,4.227067,0.389127	3.80586504936
19:31:26	0.952422,4.226956,0.389095	0.939923,4.425562,0.345478	-0.208367,0.143701,10.260264	0.952422,4.226956,0.389095	3.80586504936
19:31:27	0.952390,4.227053,0.389069	0.942140,4.425352,0.341458	-0.205972,0.141306,10.253079	0.952390,4.227053,0.389069	3.80586504936
19:31:27	0.952120,4.227143,0.389299	0.941979,4.425254,0.341169	-0.210762,0.141306,10.255474	0.952120,4.227143,0.389299	3.80586504936
19:31:27	0.952400,4.227041,0.389059	0.942150,4.425375,0.341714	-0.203577,0.141306,10.262659	0.952400,4.227041,0.389059	3.80586504936
19:31:27	0.952385,4.227046,0.389067	0.942150,4.425375,0.341714	-0.203577,0.146096,10.243499	0.952094,4.227035,0.389210	3.80586504936
19:31:27	0.952137,4.227040,0.389267	0.942062,4.425376,0.341795	-0.203577,0.141306,10.253079	0.952137,4.227040,0.389267	3.80586504936
19:31:27	0.952393,4.227041,0.389077	0.942152,4.425366,0.341713	-0.205972,0.138911,10.255474	0.952393,4.227041,0.389077	3.80586504936
19:31:27	0.952363,4.226953,0.389040	0.941909,4.425251,0.341404	-0.208367,0.136516,10.253079	0.952363,4.226953,0.389040	3.80586504936
19:31:27	0.952104,4.227123,0.389226	0.939838,4.425554,0.345509	-0.203577,0.138911,10.253079	0.952104,4.227123,0.389226	3.80586504936
19:31:27	0.952417,4.227058,0.389112	0.939838,4.425554,0.345509	-0.210762,0.146096,10.245894	0.952417,4.227058,0.389112	3.80586504936
19:31:27	0.952390,4.227041,0.389065	0.939879,4.425556,0.345353	-0.208367,0.141306,10.245894	0.952390,4.227041,0.389065	3.80586504936
19:31:28	0.952091,4.227019,0.389229	1.020766,4.414818,0.371679	-0.205972,0.141306,10.253079	0.952091,4.227019,0.389229	3.80586504936
19:31:28	0.952121,4.227150,0.389311	0.939664,4.425360,0.344079	-0.203577,0.141306,10.253079	0.952121,4.227150,0.389311	3.8111436367
19:31:28	0.952396,4.227042,0.389069	1.019065,4.415448,0.373524	-0.203577,0.148491,10.257869	0.952396,4.227042,0.389069	3.80586504936
19:31:28	0.952398,4.227043,0.389065	1.020676,4.414812,0.371060	-0.201182,0.138911,10.245894	0.952398,4.227043,0.389065	3.80586504936
19:31:28	0.952123,4.227150,0.389314	1.020691,4.414803,0.370941	-0.203577,0.141306,10.253079	0.952123,4.227150,0.389314	3.80586504936
19:31:28	0.952135,4.227036,0.389277	0.941976,4.425247,0.341285	-0.203577,0.136516,10.248289	0.952135,4.227036,0.389277	3.80586504936
19:31:28	0.952104,4.227112,0.389234	0.939990,4.425438,0.345045	-0.210762,0.138911,10.250684	0.952104,4.227112,0.389234	3.80586504936
19:31:28	0.952127,4.227161,0.389331	0.939656,4.425364,0.344075	-0.210762,0.141306,10.250684	0.952127,4.227161,0.389331	3.73724341393
19:31:28	0.952101,4.227038,0.389265	1.018983,4.415550,0.373107	-0.203577,0.153281,10.308164	0.952101,4.227038,0.389265	3.73196482658
19:31:28	0.952076,4.227104,0.389302	1.020609,4.414772,0.370917	-0.220342,0.141306,10.233918	0.952076,4.227104,0.389302	3.72668623924
19:31:29	0.952541,4.227035,0.389107	1.018812,4.415473,0.373395	-0.150886,0.167651,10.219548	0.952541,4.227035,0.389107	3.71612906456
19:31:29	0.952143,4.227168,0.389310	0.942175,4.425419,0.342288	-0.229922,0.122146,10.229128	0.952143,4.227168,0.389310	3.71612906456
19:31:29	0.952120,4.227231,0.389281	1.020753,4.414930,0.371473	-0.203577,0.100591,10.310559	0.952120,4.227231,0.389281	3.70557188988
19:31:29	0.952110,4.227174,0.389309	0.939735,4.425501,0.344867	-0.203577,0.172441,10.269844	0.952110,4.227174,0.389309	3.70029330254
19:31:29	0.952111,4.227152,0.389273	0.942161,4.425528,0.344112	-0.201182,0.239502,10.305769	0.952363,4.226977,0.389106	3.68973612785
19:31:29	0.952092,4.227042,0.389249	0.939799,4.425547,0.345095	-0.205972,0.191602,10.281819	0.952092,4.227042,0.389249	3.68445754051
19:31:29	0.952395,4.227091,0.389186	0.940015,4.425484,0.345455	-0.237107,0.162861,10.245894	0.952395,4.227091,0.389186	3.67390036583
19:31:29	0.952089,4.227116,0.389268	1.020452,4.414911,0.371563	-0.196392,0.134121,10.212363	0.952089,4.227116,0.389268	3.66862177849
19:31:29	0.952096,4.227120,0.389303	0.939627,4.425574,0.346795	-0.177231,0.019160,10.224338	0.952096,4.227120,0.389303	3.65806460381
19:31:29	0.952124,4.227164,0.389333	0.939676,4.425530,0.345529	-0.261057,0.256267,10.262659	0.952124,4.227164,0.389333	3.64750742912
19:31:30	0.952402,4.227122,0.389155	0.939696,4.425527,0.345271	-0.220342,0.086221,10.281819	0.952402,4.227122,0.389155	3.64222884178
19:31:30	0.952105,4.227025,0.389253	0.939654,4.425456,0.344711	-0.107776,0.414338,10.219548	0.952105,4.227025,0.389253	3.6316716671
19:31:30	0.952061,4.227078,0.389296	1.020603,4.414735,0.370955	-0.189207,0.294587,10.219548	0.952061,4.227078,0.389296	3.62111449242
19:31:30	0.952340,4.226874,0.389101	0.942022,4.425388,0.342155	-0.098196,0.320933,10.257869	0.952340,4.226874,0.389101	3.61583590508
19:31:30	0.952403,4.226801,0.389121	0.941677,4.425204,0.342132	-0.138911,0.114961,10.238708	0.952403,4.226801,0.389121	3.60527873039
19:31:30	0.952139,4.226886,0.389210	1.020381,4.414676,0.371057	-0.093406,0.407153,10.351274	0.952139,4.226886,0.389210	3.59472155571
19:31:30	0.952419,4.226565,0.389287	0.938303,4.425175,0.345669	-0.033530,0.162861,10.262659	0.952419,4.226565,0.389287	3.58416438103
19:31:30	0.952318,4.226148,0.389248	0.942008,4.425063,0.344189	-0.265847,0.117356,10.257869	0.952324,4.226112,0.389240	3.57360720634
19:31:30	0.952172,4.225526,0.389163	0.941445,4.424545,0.343626	-0.138911,0.208367,10.162068	0.952172,4.225526,0.389163	3.568328619
19:31:30	0.951703,4.225171,0.389091	0.939247,4.423548,0.339371	-0.170046,0.138911,10.219548	0.951703,4.225171,0.389091	3.55777144432
19:31:31	0.951563,4.224993,0.389158	1.016765,4.414024,0.370005	-0.313748,0.095801,10.229128	0.951563,4.224993,0.389158	3.54193544388
19:31:31	0.951041,4.224762,0.389202	1.013057,4.414827,0.370959	0.047900,0.189207,10.300979	0.951041,4.224762,0.389202	3.53665685654
19:31:31	0.950831,4.224439,0.389141	1.013057,4.414827,0.370959	-0.143701,0.320933,10.329719	0.950831,4.224439,0.389141	3.52609968185
19:31:31	0.951232,4.223416,0.389275	1.011370,4.414867,0.369004	0.141306,0.107776,10.413545	0.951232,4.223416,0.389275	3.51554250717
19:31:31	0.951170,4.221898,0.388980	0.931223,4.421072,0.342171	-0.289797,0.308958,10.310559	0.951170,4.221898,0.388980	3.49970674515
19:31:31	0.951181,4.220969,0.388885	0.752455,4.199879,0.389948	-0.031135,0.306563,10.403965	0.951181,4.220969,0.388885	3.48914957047
19:31:31	0.949490,4.219493,0.389343	0.752588,4.197290,0.389071	-0.397573,-0.002395,10.257869	0.949490,4.219493,0.389343	3.47859239578
19:31:31	0.947569,4.218329,0.388907	0.751226,4.240227,0.420583	-0.002395,0.014370,10.042317	0.947357,4.218237,0.388898	3.46275663376
19:31:31	0.944509,4.216561,0.389308	0.748903,4.195433,0.394428	-0.016765,0.246687,10.207573	0.944509,4.216561,0.389308	3.44692087173
19:31:31	0.941734,4.213994,0.389181	0.746427,4.190674,0.395930	-0.421523,-0.014370,10.176438	0.941734,4.213994,0.389181	3.43636369705
19:31:32	0.937670,4.210083,0.389558	0.743220,4.192143,0.417391	-0.546064,-0.201182,10.183623	0.937670,4.210083,0.389558	3.42052793503
19:31:32	0.932045,4.201948,0.391931	0.742454,4.169150,0.396524	-0.699346,0.045505,10.499766	0.932045,4.201948,0.391931	3.40997076035
19:31:32	0.924352,4.187425,0.395237	0.738237,4.160191,0.424667	-0.265847,0.265847,10.229128	0.924352,4.187425,0.395237	3.39413499832
19:31:32	0.910874,4.162167,0.398702	0.738034,4.118339,0.417002	-0.512534,0.107776,10.389595	0.910874,4.162167,0.398702	3.3782992363
19:31:32	0.886875,4.122363,0.401865	0.736640,4.069921,0.424837	-0.572410,0.031135,10.243499	0.886875,4.122363,0.401865	3.36246347427
19:31:32	0.857029,4.071624,0.400679	0.730439,4.005616,0.430069	0.615520,0.114961,9.639954	0.857029,4.071624,0.400679	3.34662771225
19:31:32	0.815084,3.998856,0.392493	0.716495,3.929696,0.421311	0.656235,-0.397573,9.412427	0.815084,3.998856,0.392493	3.32023477554
19:31:32	0.777000,3.930038,0.383659	0.693112,3.848865,0.402211	-0.134121,-0.026345,10.621912	0.777000,3.930038,0.383659	3.36246347427
