# Flight Log 
# 25 08 17 - 19:28:54
Time		X,Y,Z				goalX,goalY,goalZ		ddx,ddy,ddz			angularx,angulary,angularz	battery
19:28:54	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0
19:28:54	0.684382,0.832197,0.410167	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.684382,0.832197,0.410167	3.74252200127
19:28:55	0.684400,0.832218,0.410144	0.807304,0.933486,0.379791	-0.093406,0.107776,10.296189	0.684400,0.832218,0.410144	3.74780058861
19:28:55	0.684586,0.832087,0.410119	0.807329,0.933503,0.379829	-0.086221,0.102986,10.286609	0.684586,0.832087,0.410119	3.74780058861
19:28:55	0.684597,0.832160,0.409979	0.807308,0.933626,0.379861	-0.093406,0.095801,10.291399	0.684597,0.832160,0.409979	3.74780058861
19:28:55	0.684439,0.832199,0.410152	0.807381,0.933655,0.380119	-0.088616,0.095801,10.298584	0.684439,0.832199,0.410152	3.74780058861
19:28:55	0.684445,0.832198,0.410156	0.807330,0.933529,0.379808	-0.095801,0.100591,10.284214	0.684445,0.832198,0.410156	3.74780058861
19:28:55	0.684433,0.832212,0.410175	0.807331,0.933533,0.379799	-0.095801,0.100591,10.303374	0.684433,0.832212,0.410175	3.74780058861
19:28:55	0.684429,0.832203,0.410171	0.807334,0.933523,0.379761	-0.093406,0.100591,10.291399	0.684429,0.832203,0.410171	3.74780058861
19:28:55	0.684389,0.832174,0.410129	0.807326,0.933520,0.379771	-0.088616,0.100591,10.281819	0.684389,0.832174,0.410129	3.74252200127
19:28:55	0.684570,0.832089,0.410131	0.807294,0.933491,0.379868	-0.091011,0.095801,10.286609	0.684570,0.832089,0.410131	3.74252200127
19:28:55	0.684586,0.832087,0.410159	0.807302,0.933614,0.379840	-0.095801,0.102986,10.289004	0.684586,0.832087,0.410159	3.74252200127
19:28:56	0.684615,0.832132,0.410031	0.807304,0.933623,0.379781	-0.093406,0.105381,10.284214	0.684615,0.832132,0.410031	3.68445754051
19:28:56	0.684424,0.832185,0.410117	0.807362,0.933661,0.380018	-0.088616,0.100591,10.286609	0.684424,0.832185,0.410117	3.67917895317
19:28:56	0.684630,0.832135,0.409964	0.807317,0.933520,0.379882	-0.117356,0.069456,10.260264	0.684630,0.832135,0.409964	3.67390036583
19:28:56	0.684480,0.832172,0.410114	0.807377,0.933678,0.380147	-0.093406,0.050295,10.303374	0.684480,0.832172,0.410114	3.66862177849
19:28:56	0.684767,0.832026,0.409966	0.807330,0.933559,0.379878	-0.102986,0.076641,10.315349	0.684767,0.832026,0.409966	3.66334319115
19:28:56	0.684422,0.832198,0.410179	0.807350,0.933766,0.380134	-0.107776,0.170046,10.200388	0.684422,0.832198,0.410179	3.65278601646
19:28:56	0.684468,0.832157,0.410209	0.807319,0.933514,0.379758	-0.095801,0.170046,10.281819	0.684468,0.832157,0.410209	3.65278601646
19:28:56	0.684723,0.832019,0.409973	0.807304,0.933540,0.379696	-0.119751,0.064666,10.478210	0.684723,0.832019,0.409973	3.64222884178
19:28:56	0.684475,0.832197,0.410128	0.807327,0.933732,0.380130	-0.136516,0.057480,10.497371	0.684475,0.832197,0.410128	3.63695025444
19:28:56	0.684563,0.832072,0.410260	0.807345,0.933557,0.379847	-0.040715,0.129331,10.255474	0.684563,0.832072,0.410260	3.63695025444
19:28:57	0.684407,0.832150,0.410158	0.807273,0.933596,0.379592	-0.067061,0.011975,10.035132	0.684407,0.832150,0.410158	3.62111449242
