# Flight Log 
# 25 08 17 - 19:27:31
Time		X,Y,Z				goalX,goalY,goalZ		ddx,ddy,ddz			angularx,angulary,angularz	battery
19:27:32	0.684984,0.823351,0.412098	0.800984,0.932203,0.377737	-0.098196,0.100591,10.293794	0.684984,0.823351,0.412098	0
19:27:32	0.684904,0.823359,0.412123	0.800984,0.932203,0.377737	-0.102986,0.102986,10.284214	0.684904,0.823359,0.412123	0
19:27:32	0.684913,0.823358,0.412119	0.800963,0.932148,0.377745	-0.091011,0.091011,10.298584	0.684913,0.823358,0.412119	0
19:27:32	0.684921,0.823361,0.412096	0.800996,0.932204,0.377709	-0.100591,0.091011,10.289004	0.684921,0.823361,0.412096	3.76891493797
19:27:32	0.684996,0.823347,0.412091	0.800991,0.932207,0.377713	-0.098196,0.088616,10.296189	0.684996,0.823347,0.412091	3.76891493797
19:27:32	0.684980,0.823362,0.412099	0.800990,0.932214,0.377740	-0.105381,0.100591,10.300979	0.684980,0.823362,0.412099	3.76891493797
19:27:32	0.684932,0.823345,0.412087	0.800959,0.932146,0.377740	-0.095801,0.093406,10.296189	0.684932,0.823345,0.412087	3.76891493797
19:27:32	0.684995,0.823355,0.412102	0.800982,0.932207,0.377754	-0.098196,0.091011,10.291399	0.684995,0.823355,0.412102	3.76891493797
19:27:32	0.685028,0.823347,0.412079	0.800997,0.932221,0.377768	-0.100591,0.091011,10.303374	0.685028,0.823347,0.412079	3.76891493797
19:27:32	0.684982,0.823371,0.412103	0.800963,0.932149,0.377730	-0.100591,0.091011,10.296189	0.684982,0.823371,0.412103	3.76891493797
19:27:32	0.684970,0.823362,0.412133	0.800968,0.932166,0.377751	-0.105381,0.095801,10.300979	0.684970,0.823362,0.412133	3.76891493797
19:27:33	0.684985,0.823356,0.412110	0.800981,0.932195,0.377693	-0.100591,0.088616,10.303374	0.684985,0.823356,0.412110	3.76891493797
19:27:33	0.684923,0.823354,0.412099	0.800993,0.932220,0.377727	-0.102986,0.091011,10.293794	0.684923,0.823354,0.412099	3.76891493797
19:27:33	0.684998,0.823348,0.412106	0.800989,0.932203,0.377736	-0.095801,0.098196,10.296189	0.684998,0.823348,0.412106	3.76891493797
19:27:33	0.684986,0.823361,0.412105	0.800995,0.932215,0.377715	-0.098196,0.095801,10.305769	0.684986,0.823361,0.412105	3.76891493797
19:27:33	0.685007,0.823350,0.412086	0.800988,0.932208,0.377714	-0.098196,0.091011,10.300979	0.685007,0.823350,0.412086	3.76891493797
19:27:33	0.684990,0.823358,0.412109	0.800984,0.932192,0.377685	-0.102986,0.088616,10.300979	0.684990,0.823358,0.412109	3.76891493797
