# Flight Log 
# 25 08 17 - 16:17:16
Time		X,Y,Z				goalX,goalY,goalZ		ddx,ddy,ddz			angularx,angulary,angularz	battery
16:17:16	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0
16:17:16	0.672468,2.226595,0.327287	0.708945,2.089996,0.477108	0.000000,0.000000,0.000000	0.672468,2.226595,0.327287	0
16:17:16	0.672471,2.226588,0.327281	0.708986,2.090042,0.477182	0.000000,0.000000,0.000000	0.672471,2.226588,0.327281	0
16:17:16	0.672515,2.226637,0.327378	0.708939,2.090002,0.477117	0.000000,0.000000,0.000000	0.672515,2.226637,0.327378	0
16:17:17	0.672515,2.226628,0.327366	0.708995,2.090023,0.477185	0.000000,0.000000,0.000000	0.672515,2.226628,0.327366	0
16:17:17	0.672469,2.226597,0.327272	0.708935,2.090002,0.477099	0.000000,0.000000,0.000000	0.672469,2.226597,0.327272	0
16:17:17	0.672525,2.226641,0.327376	0.708944,2.090004,0.477099	0.000000,0.000000,0.000000	0.672525,2.226641,0.327376	0
16:17:17	0.672516,2.226617,0.327378	0.708987,2.090029,0.477195	0.000000,0.000000,0.000000	0.672516,2.226617,0.327378	0
16:17:17	0.672516,2.226640,0.327371	0.708994,2.090038,0.477178	0.000000,0.000000,0.000000	0.672516,2.226640,0.327371	0
16:17:17	0.672515,2.226630,0.327362	0.708991,2.090039,0.477189	0.000000,0.000000,0.000000	0.672515,2.226630,0.327362	0
16:17:17	0.672461,2.226589,0.327269	0.708990,2.090032,0.477174	0.000000,0.000000,0.000000	0.672461,2.226589,0.327269	0
16:17:17	0.672466,2.226600,0.327287	0.708937,2.089992,0.477100	0.000000,0.000000,0.000000	0.672466,2.226600,0.327287	0
16:17:17	0.672462,2.226584,0.327292	0.708938,2.090005,0.477106	0.000000,0.000000,0.000000	0.672462,2.226584,0.327292	0
16:17:17	0.672518,2.226627,0.327369	0.708944,2.090000,0.477114	0.000000,0.000000,0.000000	0.672518,2.226627,0.327369	0
16:17:18	0.672458,2.226593,0.327272	0.708939,2.090004,0.477106	0.000000,0.000000,0.000000	0.672458,2.226593,0.327272	0
16:17:18	0.672464,2.226590,0.327274	0.708941,2.089998,0.477096	0.000000,0.000000,0.000000	0.672464,2.226590,0.327274	0
16:17:18	0.672466,2.226593,0.327285	0.708952,2.089989,0.477107	0.000000,0.000000,0.000000	0.672466,2.226593,0.327285	0
16:17:18	0.672511,2.226638,0.327376	0.708944,2.090006,0.477116	0.000000,0.000000,0.000000	0.672511,2.226638,0.327376	0
16:17:18	0.672462,2.226591,0.327274	0.708991,2.090039,0.477179	0.000000,0.000000,0.000000	0.672462,2.226591,0.327274	0
16:17:18	0.672467,2.226596,0.327280	0.708993,2.090032,0.477185	0.000000,0.000000,0.000000	0.672467,2.226596,0.327280	0
16:17:18	0.672522,2.226627,0.327370	0.708986,2.090034,0.477188	0.000000,0.000000,0.000000	0.672522,2.226627,0.327370	0
16:17:18	0.672462,2.226588,0.327293	0.708952,2.089993,0.477117	0.000000,0.000000,0.000000	0.672462,2.226588,0.327293	0
16:17:18	0.672466,2.226580,0.327276	0.708944,2.089995,0.477112	0.000000,0.000000,0.000000	0.672466,2.226580,0.327276	0
16:17:18	0.672466,2.226609,0.327283	0.708983,2.090033,0.477176	0.000000,0.000000,0.000000	0.672466,2.226609,0.327283	0
16:17:19	0.672469,2.226587,0.327290	0.708992,2.090034,0.477190	0.000000,0.000000,0.000000	0.672469,2.226587,0.327290	0
16:17:19	0.672458,2.226590,0.327285	0.708987,2.090019,0.477196	0.000000,0.000000,0.000000	0.672458,2.226590,0.327285	0
16:17:19	0.672516,2.226619,0.327372	0.675590,2.066855,0.343639	0.000000,0.000000,0.000000	0.672516,2.226619,0.327372	0
16:17:19	0.672522,2.226629,0.327377	0.675553,2.066825,0.343560	0.000000,0.000000,0.000000	0.672522,2.226629,0.327377	0
16:17:19	0.672433,2.226490,0.327285	0.675604,2.066864,0.343633	0.000000,0.000000,0.000000	0.672433,2.226490,0.327285	0
16:17:19	0.672476,2.226599,0.327291	0.675556,2.066833,0.343543	0.000000,0.000000,0.000000	0.672476,2.226599,0.327291	0
16:17:19	0.672525,2.226631,0.327373	0.675599,2.066869,0.343645	0.000000,0.000000,0.000000	0.672525,2.226631,0.327373	0
16:17:19	0.672464,2.226591,0.327272	0.675606,2.066874,0.343638	0.000000,0.000000,0.000000	0.672464,2.226591,0.327272	0
16:17:19	0.672529,2.226650,0.327344	0.675551,2.066844,0.343568	0.000000,0.000000,0.000000	0.672529,2.226650,0.327344	0
16:17:19	0.672436,2.226487,0.327272	0.675604,2.066867,0.343634	0.000000,0.000000,0.000000	0.672436,2.226487,0.327272	0
16:17:20	0.672471,2.226606,0.327292	0.675603,2.066862,0.343635	0.000000,0.000000,0.000000	0.672471,2.226606,0.327292	0
16:17:20	0.672467,2.226592,0.327289	0.675553,2.066837,0.343576	0.000000,0.000000,0.000000	0.672467,2.226592,0.327289	0
16:17:20	0.672508,2.226536,0.327360	0.675601,2.066883,0.343638	0.000000,0.000000,0.000000	0.672508,2.226536,0.327360	0
16:17:20	0.672470,2.226581,0.327277	0.675554,2.066833,0.343569	0.000000,0.000000,0.000000	0.672470,2.226581,0.327277	0
16:17:20	0.672463,2.226584,0.327289	0.675601,2.066870,0.343632	0.000000,0.000000,0.000000	0.672463,2.226584,0.327289	0
