# Flight Log 
# 25 08 17 - 14:27:45
Time		X,Y,Z				goalX,goalY,goalZ		ddx,ddy,ddz			angularx,angulary,angularz	battery
14:27:45	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0
14:27:45	0.710314,0.823727,0.409994	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.710314,0.823727,0.409994	0
14:27:45	0.710272,0.823765,0.410108	0.817001,0.923721,0.540022	0.000000,0.000000,0.000000	0.710272,0.823765,0.410108	0
14:27:45	0.710309,0.823717,0.409995	0.817056,0.923704,0.540095	0.000000,0.000000,0.000000	0.710309,0.823717,0.409995	0
14:27:45	0.710308,0.823765,0.410041	0.817011,0.923677,0.540011	0.000000,0.000000,0.000000	0.710308,0.823765,0.410041	0
14:27:45	0.710350,0.823656,0.409981	0.817007,0.923676,0.539973	0.000000,0.000000,0.000000	0.710350,0.823656,0.409981	0
14:27:45	0.710327,0.823722,0.409981	0.816980,0.923751,0.540090	0.000000,0.000000,0.000000	0.710327,0.823722,0.409981	0
14:27:45	0.710300,0.823750,0.410010	0.817023,0.923693,0.539975	0.000000,0.000000,0.000000	0.710300,0.823750,0.410010	0
14:27:45	0.710293,0.823717,0.409991	0.817204,0.923618,0.539892	0.000000,0.000000,0.000000	0.710293,0.823717,0.409991	0
14:27:45	0.710270,0.823787,0.410138	0.816982,0.923668,0.539973	0.000000,0.000000,0.000000	0.710270,0.823787,0.410138	0
14:27:46	0.710305,0.823770,0.410053	0.817045,0.923692,0.539980	0.000000,0.000000,0.000000	0.710305,0.823770,0.410053	0
14:27:46	0.710318,0.823730,0.409980	0.817036,0.923704,0.539984	0.000000,0.000000,0.000000	0.710318,0.823730,0.409980	0
14:27:46	0.710197,0.823740,0.410097	0.817031,0.923706,0.540009	0.000000,0.000000,0.000000	0.710197,0.823740,0.410097	0
14:27:46	0.710289,0.823745,0.410010	0.817025,0.923691,0.539971	0.000000,0.000000,0.000000	0.710289,0.823745,0.410010	0
14:27:46	0.710290,0.823750,0.410037	0.817008,0.923709,0.540009	0.000000,0.000000,0.000000	0.710290,0.823750,0.410037	0
14:27:46	0.710285,0.823762,0.410042	0.816958,0.923709,0.540082	0.000000,0.000000,0.000000	0.710285,0.823762,0.410042	0
14:27:46	0.710343,0.823747,0.410003	0.816971,0.923716,0.540082	0.000000,0.000000,0.000000	0.710343,0.823747,0.410003	0
14:27:46	0.710285,0.823811,0.410146	0.816974,0.923694,0.540011	0.000000,0.000000,0.000000	0.710285,0.823811,0.410146	0
14:27:46	0.710276,0.823723,0.410021	0.831743,0.926963,0.382756	0.000000,0.000000,0.000000	0.710276,0.823723,0.410021	0
14:27:46	0.710330,0.823748,0.409988	0.831786,0.927030,0.382873	0.000000,0.000000,0.000000	0.710330,0.823748,0.409988	0
14:27:47	0.710365,0.823669,0.410022	0.831785,0.927016,0.382868	0.000000,0.000000,0.000000	0.710365,0.823669,0.410022	0
