# Flight Log 
# 25 08 17 - 14:25:11
Time		X,Y,Z				goalX,goalY,goalZ		ddx,ddy,ddz			angularx,angulary,angularz	battery
14:25:11	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0
14:25:11	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0
14:25:11	0.725943,0.836121,0.410405	0.832441,0.936017,0.541243	0.000000,0.000000,0.000000	0.725943,0.836121,0.410405	0
14:25:11	0.725977,0.836123,0.410345	0.832448,0.936003,0.541233	0.000000,0.000000,0.000000	0.725977,0.836123,0.410345	0
14:25:11	0.725927,0.836120,0.410392	0.832483,0.936013,0.541189	0.000000,0.000000,0.000000	0.725927,0.836120,0.410392	0
14:25:11	0.725934,0.836124,0.410415	0.832438,0.936003,0.541223	0.000000,0.000000,0.000000	0.725934,0.836124,0.410415	0
14:25:11	0.725969,0.836129,0.410369	0.832489,0.936020,0.541187	0.000000,0.000000,0.000000	0.725969,0.836129,0.410369	0
14:25:11	0.725976,0.836117,0.410362	0.832422,0.936014,0.541254	0.000000,0.000000,0.000000	0.725976,0.836117,0.410362	0
14:25:12	0.725920,0.836116,0.410401	0.832432,0.936000,0.541247	0.000000,0.000000,0.000000	0.725920,0.836116,0.410401	0
14:25:12	0.725928,0.836114,0.410419	0.832476,0.936015,0.541181	0.000000,0.000000,0.000000	0.725928,0.836114,0.410419	0
14:25:12	0.725967,0.836117,0.410374	0.832438,0.935996,0.541222	-0.141306,0.107776,10.281819	0.725967,0.836117,0.410374	0
14:25:12	0.725913,0.836112,0.410407	0.832497,0.936001,0.541173	-0.134121,0.107776,10.272239	0.725913,0.836112,0.410407	3.84809374809
14:25:12	0.725922,0.836108,0.410415	0.832479,0.936007,0.541179	-0.134121,0.107776,10.277029	0.725922,0.836108,0.410415	3.84809374809
14:25:12	0.725934,0.836111,0.410402	0.832437,0.935988,0.541233	-0.134121,0.102986,10.277029	0.725934,0.836111,0.410402	3.84809374809
