# Flight Log 
# 25 08 17 - 18:32:06
Time		X,Y,Z				goalX,goalY,goalZ		ddx,ddy,ddz			angularx,angulary,angularz	battery
18:32:07	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0
18:32:07	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0
18:32:07	0.695731,0.813753,0.410243	0.766554,0.887758,0.441481	-0.114961,0.098196,10.293794	0.695731,0.813753,0.410243	4.10674476624
18:32:07	0.695755,0.813736,0.410220	0.766542,0.887761,0.441549	-0.110171,0.093406,10.300979	0.695755,0.813736,0.410220	4.10674476624
18:32:07	0.695776,0.813768,0.410181	0.766548,0.887757,0.441510	-0.112566,0.095801,10.281819	0.695776,0.813768,0.410181	4.10674476624
18:32:07	0.695809,0.813764,0.410193	0.766555,0.887749,0.441465	-0.110171,0.095801,10.305769	0.695809,0.813764,0.410193	4.10674476624
18:32:07	0.695742,0.813739,0.410219	0.766528,0.887745,0.441593	-0.112566,0.100591,10.300979	0.695742,0.813739,0.410219	4.10674476624
18:32:07	0.695747,0.813762,0.410235	0.766526,0.887746,0.441625	-0.107776,0.098196,10.303374	0.695747,0.813762,0.410235	4.10674476624
18:32:07	0.695751,0.813740,0.410209	0.766556,0.887758,0.441513	-0.100591,0.098196,10.308164	0.695751,0.813740,0.410209	4.10674476624
18:32:07	0.695749,0.813742,0.410226	0.766552,0.887755,0.441510	-0.105381,0.102986,10.298584	0.695749,0.813742,0.410226	4.10674476624
18:32:07	0.695740,0.813747,0.410224	0.766545,0.887762,0.441515	-0.105381,0.098196,10.291399	0.695740,0.813747,0.410224	4.10674476624
18:32:08	0.695784,0.813760,0.410190	0.766518,0.887740,0.441599	-0.105381,0.100591,10.300979	0.695784,0.813760,0.410190	4.10674476624
18:32:08	0.695770,0.813744,0.410226	0.766553,0.887752,0.441532	-0.110171,0.100591,10.291399	0.695770,0.813744,0.410226	4.10674476624
18:32:08	0.695752,0.813745,0.410236	0.766568,0.887757,0.441380	-0.112566,0.093406,10.277029	0.695752,0.813745,0.410236	4.02228736877
18:32:08	0.695755,0.813766,0.410230	0.766520,0.887732,0.441609	-0.136516,0.079036,10.298584	0.695755,0.813766,0.410230	4.01700878143
18:32:08	0.695751,0.813722,0.410251	0.766520,0.887743,0.441496	-0.098196,0.095801,10.308164	0.695751,0.813722,0.410251	4.00645160675
18:32:08	0.695778,0.813807,0.410230	0.766530,0.887755,0.441503	-0.079036,0.122146,10.336904	0.695778,0.813807,0.410230	3.99589443207
18:32:08	0.695750,0.813764,0.410278	0.766536,0.887744,0.441356	-0.062271,0.098196,10.200388	0.695750,0.813764,0.410278	3.98533725739
18:32:08	0.695760,0.813774,0.410336	0.766578,0.887772,0.441406	-0.071851,0.143701,10.265054	0.695760,0.813774,0.410336	3.98005867004
18:32:08	0.695819,0.813746,0.410228	0.766509,0.887754,0.441536	-0.052690,0.253872,9.944121	0.695819,0.813746,0.410228	3.9747800827
18:32:08	0.695746,0.813750,0.410270	0.766514,0.887737,0.441475	-0.170046,0.114961,10.389595	0.695746,0.813750,0.410270	3.95894432068
18:32:09	0.695759,0.813664,0.410212	0.766549,0.887759,0.441389	-0.102986,0.126936,10.336904	0.695759,0.813664,0.410212	3.95366573334
18:32:09	0.695749,0.813716,0.410247	0.766582,0.887756,0.441336	-0.150886,0.035925,10.214758	0.695749,0.813716,0.410247	3.93782997131
18:32:09	0.695736,0.813732,0.410302	0.766511,0.887736,0.441447	-0.062271,0.000000,10.497371	0.695736,0.813732,0.410302	3.93255138397
18:32:09	0.695766,0.813640,0.410211	0.766523,0.887796,0.441514	-0.184417,-0.021555,10.097402	0.695702,0.813634,0.410264	3.92199420929
18:32:09	0.695866,0.813756,0.410214	0.766514,0.887779,0.441536	-0.043110,0.165256,10.494976	0.695866,0.813756,0.410214	3.91143703461
18:32:09	0.695701,0.813668,0.410262	0.766548,0.887769,0.441431	0.069456,0.184417,10.399175	0.695701,0.813668,0.410262	3.90087985992
18:32:09	0.695853,0.813463,0.410168	0.766540,0.887795,0.441473	0.023950,0.182021,10.114167	0.695853,0.813463,0.410168	3.89560127258
18:32:09	0.696432,0.813207,0.409703	0.766192,0.888080,0.442712	-0.141306,0.174836,10.353669	0.696432,0.813207,0.409703	3.87976527214
18:32:09	0.696419,0.812963,0.409675	0.766110,0.888206,0.378414	-0.249082,0.119751,10.322534	0.696419,0.812963,0.409675	3.86920809746
18:32:09	0.696486,0.812696,0.409718	0.766181,0.888368,0.378364	-0.165256,0.009580,10.540481	0.696486,0.812696,0.409718	3.85865092278
18:32:10	0.697292,0.812953,0.409602	0.765819,0.888384,0.378971	0.100591,0.067061,10.494976	0.697292,0.812953,0.409602	3.84809374809
18:32:10	0.698395,0.812990,0.409853	0.765106,0.888203,0.378778	-0.282612,0.067061,10.013577	0.698395,0.812990,0.409853	3.83753657341
