# Flight Log 
# 25 08 17 - 18:33:05
Time		X,Y,Z				goalX,goalY,goalZ		ddx,ddy,ddz			angularx,angulary,angularz	battery
18:33:05	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0
18:33:05	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0
18:33:05	0.686875,0.817167,0.410568	0.739874,0.885692,0.440715	0.000000,0.000000,0.000000	0.686875,0.817167,0.410568	0
18:33:05	0.686877,0.817175,0.410580	0.739870,0.885697,0.440750	0.000000,0.000000,0.000000	0.686877,0.817175,0.410580	0
18:33:05	0.686885,0.817181,0.410576	0.739875,0.885696,0.440738	0.000000,0.000000,0.000000	0.686885,0.817181,0.410576	0
18:33:05	0.686873,0.817192,0.410566	0.739876,0.885707,0.440781	0.000000,0.000000,0.000000	0.686873,0.817192,0.410566	0
18:33:05	0.686872,0.817174,0.410559	0.739875,0.885705,0.440785	0.000000,0.000000,0.000000	0.686872,0.817174,0.410559	0
18:33:05	0.686869,0.817179,0.410569	0.739871,0.885696,0.440742	-0.129331,0.112566,10.296189	0.686869,0.817179,0.410569	0
18:33:06	0.686915,0.817160,0.410541	0.739880,0.885693,0.440718	-0.124541,0.110171,10.300979	0.686915,0.817160,0.410541	0
18:33:06	0.686887,0.817188,0.410573	0.739871,0.885698,0.440768	-0.134121,0.105381,10.305769	0.686887,0.817188,0.410573	4.00645160675
18:33:06	0.686879,0.817179,0.410580	0.739876,0.885694,0.440736	-0.124541,0.105381,10.298584	0.686879,0.817179,0.410580	4.00645160675
18:33:06	0.686871,0.817178,0.410590	0.739885,0.885695,0.440710	-0.129331,0.107776,10.310559	0.686871,0.817178,0.410590	4.00645160675
18:33:06	0.686888,0.817179,0.410556	0.739872,0.885698,0.440760	-0.131726,0.110171,10.296189	0.686888,0.817179,0.410556	4.00645160675
18:33:06	0.686894,0.817176,0.410548	0.739883,0.885705,0.440834	-0.131726,0.110171,10.289004	0.686894,0.817176,0.410548	4.00645160675
18:33:06	0.686878,0.817158,0.410550	0.739876,0.885689,0.440745	-0.124541,0.114961,10.298584	0.686878,0.817158,0.410550	4.00645160675
18:33:06	0.686871,0.817173,0.410559	0.739868,0.885698,0.440731	-0.122146,0.114961,10.293794	0.686871,0.817173,0.410559	4.00645160675
18:33:06	0.686841,0.817211,0.410564	0.739878,0.885699,0.440716	-0.129331,0.117356,10.284214	0.686841,0.817211,0.410564	4.00645160675
18:33:06	0.686857,0.817158,0.410535	0.739870,0.885697,0.440755	-0.134121,0.091011,10.281819	0.686857,0.817158,0.410535	3.93255138397
18:33:07	0.686844,0.817185,0.410576	0.739879,0.885700,0.440752	-0.122146,0.091011,10.279424	0.686844,0.817185,0.410576	3.92727279663
18:33:07	0.686901,0.817163,0.410508	0.739868,0.885702,0.440863	-0.110171,0.107776,10.348879	0.686901,0.817163,0.410508	3.92199420929
18:33:07	0.686909,0.817171,0.410531	0.739875,0.885694,0.440886	-0.177231,0.114961,10.351274	0.686909,0.817171,0.410531	3.91143703461
18:33:07	0.686864,0.817149,0.410557	0.739943,0.885696,0.440917	-0.122146,0.112566,10.214758	0.686864,0.817149,0.410557	3.90615844727
18:33:07	0.686803,0.817183,0.410465	0.739886,0.885711,0.440855	-0.193997,0.086221,10.365645	0.686803,0.817183,0.410465	3.90087985992
18:33:07	0.686831,0.817180,0.410460	0.739921,0.885695,0.440997	-0.170046,0.114961,10.370435	0.686831,0.817180,0.410460	3.89032268524
18:33:07	0.686793,0.817176,0.410437	0.739906,0.885690,0.441003	-0.177231,0.093406,10.380015	0.686793,0.817176,0.410437	3.87976527214
18:33:07	0.686863,0.817130,0.410390	0.739932,0.885696,0.440951	-0.215552,0.110171,10.202783	0.686863,0.817130,0.410390	3.8744866848
18:33:07	0.686801,0.817168,0.410318	0.739908,0.885710,0.441099	-0.129331,0.086221,10.197993	0.686801,0.817168,0.410318	3.86392951012
18:33:07	0.686778,0.817169,0.410383	0.739940,0.885707,0.441223	-0.143701,0.059875,10.274634	0.686778,0.817169,0.410383	3.85865092278
18:33:08	0.686782,0.817220,0.410354	0.739921,0.885702,0.441125	-0.170046,0.119751,10.308164	0.686782,0.817220,0.410354	3.85865092278
18:33:08	0.686678,0.817308,0.410330	0.739973,0.885661,0.441210	-0.100591,0.047900,10.332114	0.686678,0.817308,0.410330	3.83753657341
18:33:08	0.686666,0.817210,0.410334	0.739996,0.885651,0.441216	-0.086221,0.002395,10.312954	0.686666,0.817210,0.410334	3.83225798607
18:33:08	0.686814,0.816767,0.410332	0.740017,0.885689,0.441228	-0.031135,0.162861,10.554851	0.686814,0.816767,0.410332	3.82697939873
18:33:08	0.686611,0.816558,0.410294	0.739890,0.885933,0.441342	-0.112566,0.076641,10.427915	0.686611,0.816558,0.410294	3.81642222404
18:33:08	0.686811,0.816458,0.410479	0.740029,0.886054,0.441385	-0.165256,-0.014370,10.344089	0.686811,0.816458,0.410479	3.80586504936
18:33:08	0.686766,0.815608,0.410231	0.739938,0.886089,0.441042	-0.019160,-0.033530,10.293794	0.686766,0.815608,0.410231	3.79530787468
18:33:08	0.687991,0.814825,0.409187	0.739228,0.886801,0.443398	-0.222737,0.220342,10.231523	0.687991,0.814825,0.409187	3.7847507
18:33:08	0.687121,0.815129,0.410340	0.739244,0.887067,0.443521	-0.261057,0.249082,10.226733	0.687121,0.815129,0.410340	3.77419352531
18:33:08	0.687996,0.814331,0.409344	0.739164,0.887191,0.379421	-0.256267,-0.021555,10.494976	0.687996,0.814331,0.409344	3.76891493797
18:33:09	0.686877,0.813848,0.410417	0.739140,0.887342,0.379280	-0.019160,0.045505,10.332114	0.686877,0.813848,0.410417	3.75835776329
18:33:09	0.687693,0.812829,0.409893	0.739856,0.887718,0.377008	-0.110171,-0.064666,10.700947	0.687693,0.812829,0.409893	3.74780058861
18:33:09	0.688601,0.812921,0.410019	0.739544,0.888382,0.441646	-0.026345,0.203577,10.018367	0.688601,0.812921,0.410019	3.74252200127
18:33:09	0.689465,0.813173,0.409950	0.738909,0.888260,0.441905	-0.079036,0.337698,10.255474	0.689465,0.813173,0.409950	3.72668623924
18:33:09	0.691040,0.812922,0.410020	0.738359,0.888069,0.442189	0.098196,-0.143701,10.533296	0.691040,0.812922,0.410020	3.71612906456
18:33:09	0.692642,0.811882,0.409969	0.737578,0.888182,0.377522	0.059875,0.445474,10.097402	0.692642,0.811882,0.409969	3.70557188988
18:33:09	0.695228,0.810937,0.409365	0.768300,0.888880,0.442575	-0.136516,-0.047900,10.370435	0.695228,0.810937,0.409365	3.69501471519
18:33:09	0.696239,0.811613,0.409519	0.767349,0.889254,0.378522	0.217947,0.016765,9.604028	0.696239,0.811613,0.409519	3.67917895317
18:33:09	0.697286,0.811737,0.410167	0.766536,0.889006,0.378451	-0.095801,-0.289797,10.147698	0.697286,0.811737,0.410167	3.66862177849
18:33:09	0.701128,0.812768,0.410092	0.765743,0.888964,0.377557	-0.064666,0.352068,10.550061	0.701128,0.812768,0.410092	3.65806460381
18:33:10	0.706030,0.814044,0.409358	0.763595,0.888303,0.442121	-0.038320,-0.136516,10.607542	0.706030,0.814044,0.409358	3.64222884178
18:33:10	0.711887,0.817603,0.410875	0.760698,0.887650,0.443028	0.155676,0.301772,10.480605	0.711887,0.817603,0.410875	3.6316716671
18:33:10	0.720912,0.823799,0.412890	0.757404,0.885696,0.376404	0.294587,-0.035925,10.284214	0.720912,0.823799,0.412890	3.61583590508
18:33:10	0.735750,0.834865,0.418208	0.783600,0.882088,0.437878	0.234712,0.210762,10.468630	0.735750,0.834865,0.418208	3.60000014305
18:33:10	0.757589,0.851107,0.428258	0.775599,0.875780,0.424509	-0.141306,0.153281,10.894944	0.757589,0.851107,0.428258	3.58416438103
18:33:10	0.791768,0.871927,0.439478	0.794770,0.898260,0.404136	0.158071,0.193997,10.217153	0.791768,0.871927,0.439478	3.58416438103
18:33:10	0.834196,0.895708,0.451153	0.807016,0.917919,0.379123	0.134121,-0.354463,10.312954	0.834196,0.895708,0.451153	3.55249285698
18:33:10	0.879858,0.920168,0.463251	0.813841,0.935746,0.417342	0.229922,0.586780,10.317744	0.879858,0.920168,0.463251	3.5313782692
18:33:10	0.925454,0.945054,0.479807	0.882599,0.953046,0.454532	-0.349673,0.117356,10.827883	0.925454,0.945054,0.479807	3.49970674515
18:33:10	0.969579,0.971014,0.500336	0.918927,0.970186,0.420858	0.337698,0.277822,10.303374	0.969579,0.971014,0.500336	3.54721426964
18:33:11	1.006557,0.998388,0.521280	0.956452,0.986692,0.438819	-0.119751,0.553250,10.660232	1.006557,0.998388,0.521280	3.54721426964
18:33:11	1.036403,1.027867,0.544083	1.029807,1.034332,0.457362	0.134121,-0.021555,10.300979	1.036403,1.027867,0.544083	3.54721426964
18:33:11	1.060007,1.060271,0.566922	1.043631,1.048877,0.470674	0.158071,0.102986,9.958491	1.060007,1.060271,0.566922	3.55249285698
18:33:11	1.077593,1.092795,0.588864	1.092992,1.093505,0.485114	0.102986,-0.617915,10.202783	1.077593,1.092795,0.588864	3.55249285698
18:33:11	1.089373,1.122486,0.611976	1.114460,1.105873,0.499584	-0.050295,0.215552,10.784773	1.089373,1.122486,0.611976	3.55249285698
18:33:11	1.097558,1.149478,0.637146	1.138764,1.151954,0.578009	0.589175,0.383203,10.717712	1.097558,1.149478,0.637146	3.54193544388
18:33:11	1.105453,1.175327,0.662459	1.133615,1.167603,0.524827	-0.222737,0.177231,9.707014	1.105453,1.175327,0.662459	3.55777144432
18:33:11	1.111621,1.201517,0.685660	1.161108,1.216102,0.594740	0.277822,0.186812,11.139236	1.111621,1.201517,0.685660	3.29912042618
18:33:11	1.117074,1.230988,0.717762	1.157092,1.232432,0.609688	0.332908,0.428708,10.190808	1.117074,1.230988,0.717762	3.568328619
18:33:11	1.121755,1.266594,0.747563	1.185743,1.246996,0.603952	0.162861,-0.459844,10.097402	1.121755,1.266594,0.747563	3.55777144432
18:33:12	1.128148,1.305625,0.774332	1.182952,1.289934,0.665566	0.124541,0.407153,10.248289	1.128148,1.305625,0.774332	3.55249285698
18:33:12	1.137665,1.345899,0.802221	1.179308,1.298596,0.670885	0.277822,0.117356,10.444680	1.137665,1.345899,0.802221	3.55249285698
18:33:12	1.149876,1.385832,0.828266	1.173717,1.338463,0.736673	-0.246687,0.021555,10.705737	1.149876,1.385832,0.828266	3.56305003166
18:33:12	1.163968,1.422522,0.856955	1.198657,1.378447,0.743312	-0.246687,0.047900,10.332114	1.163968,1.422522,0.856955	3.55777144432
18:33:12	1.179971,1.455383,0.884978	1.222377,1.420247,0.807853	0.105381,0.067061,10.791958	1.179971,1.455383,0.884978	3.54193544388
18:33:12	1.197900,1.484299,0.911302	1.212902,1.464305,0.746114	-0.114961,0.464634,9.867480	1.197900,1.484299,0.911302	3.55777144432
18:33:12	1.216425,1.508255,0.925781	1.233960,1.510731,0.687809	-0.457449,0.050295,9.213640	1.216425,1.508255,0.925781	3.55249285698
18:33:12	1.234973,1.526193,0.931427	1.255067,1.528084,0.844593	0.304167,0.239502,10.284214	1.234973,1.526193,0.931427	3.51554250717
18:33:12	1.253378,1.539377,0.936189	1.275674,1.580986,0.769176	-0.170046,0.270637,9.536968	1.253378,1.539377,0.936189	3.53665685654
18:33:12	1.270455,1.551091,0.932691	1.296944,1.572895,0.820372	0.071851,0.220342,9.944121	1.270455,1.551091,0.932691	3.5313782692
18:33:13	1.284477,1.562247,0.929254	1.318538,1.597888,0.955226	-0.052690,0.294587,10.954819	1.284477,1.562247,0.929254	3.49970674515
18:33:13	1.294847,1.575090,0.932717	1.341664,1.623137,0.964631	0.222737,0.407153,10.830278	1.294847,1.575090,0.932717	3.52609968185
18:33:13	1.303393,1.592306,0.936206	1.335313,1.615552,0.893823	-0.222737,0.304167,9.841135	1.303393,1.592306,0.936206	3.5313782692
18:33:13	1.312792,1.613536,0.935183	1.362506,1.637528,0.947939	0.268242,0.021555,10.054292	1.312792,1.613536,0.935183	3.50498533249
18:33:13	1.325462,1.638574,0.938816	1.356882,1.656960,0.950971	0.179626,0.129331,10.375225	1.325462,1.638574,0.938816	3.52609968185
18:33:13	1.341984,1.666990,0.940554	1.381393,1.674193,0.879815	0.285007,0.124541,9.721384	1.341984,1.666990,0.940554	3.52609968185
18:33:13	1.361013,1.697844,0.934866	1.371722,1.689262,0.873931	0.055085,-0.273032,9.841135	1.361013,1.697844,0.934866	3.52082109451
18:33:13	1.381968,1.728280,0.928247	1.392405,1.702859,0.886187	-0.076641,0.193997,10.796748	1.381968,1.728280,0.928247	3.51554250717
18:33:13	1.404105,1.756773,0.921468	1.411874,1.748537,0.836765	0.215552,0.019160,9.800420	1.404105,1.756773,0.921468	3.71085047722
18:33:13	1.427441,1.783595,0.906561	1.430738,1.795272,0.850616	0.294587,0.234712,10.832673	1.427441,1.783595,0.906561	3.50498533249
18:33:14	1.450590,1.810420,0.895205	1.448659,1.811221,0.883153	0.364043,0.419128,11.280542	1.450590,1.810420,0.895205	3.51026391983
18:33:14	1.471792,1.839075,0.889999	1.466767,1.827123,0.845518	0.287402,0.337698,10.059082	1.471792,1.839075,0.889999	3.51554250717
18:33:14	1.490186,1.868776,0.882589	1.517893,1.874008,0.856949	0.059875,0.182021,10.169253	1.490186,1.868776,0.882589	3.51026391983
18:33:14	1.505149,1.898179,0.877171	1.538716,1.888181,0.872967	0.215552,0.129331,10.413545	1.505149,1.898179,0.877171	3.51554250717
18:33:14	1.518084,1.927738,0.872662	1.561590,1.934559,0.821644	0.603545,-0.440684,9.513018	1.518084,1.927738,0.872662	3.58416438103
18:33:14	1.530037,1.958604,0.862797	1.553795,1.948944,0.830666	0.105381,0.407153,10.277029	1.530037,1.958604,0.862797	3.4680352211
18:33:14	1.539804,1.990734,0.852774	1.578537,1.994491,0.852193	0.122146,0.613125,9.891431	1.539804,1.990734,0.852774	3.51026391983
18:33:14	1.546990,2.022927,0.845398	1.604556,1.975225,0.874097	-0.081431,0.110171,10.356064	1.546990,2.022927,0.845398	3.44164228439
18:33:14	1.554842,2.053983,0.843846	1.600124,1.987877,0.891577	-0.016765,0.519719,10.753638	1.554842,2.053983,0.843846	3.50498533249
18:33:14	1.564127,2.082924,0.843836	1.595558,2.001114,0.831666	0.057480,-0.366438,9.886641	1.564127,2.082924,0.843836	3.53665685654
18:33:15	1.573203,2.107524,0.838903	1.621952,2.111628,0.831086	0.011975,-0.162861,10.360854	1.573203,2.107524,0.838903	3.51554250717
18:33:15	1.581430,2.128834,0.834515	1.616568,2.128651,0.841373	0.177231,0.035925,10.542876	1.581430,2.128834,0.834515	3.44692087173
18:33:15	1.587781,2.151214,0.833016	1.643478,2.147799,0.851425	0.162861,0.340093,10.863809	1.587781,2.151214,0.833016	3.50498533249
18:33:15	1.591302,2.177062,0.833309	1.639628,2.198500,0.855093	0.119751,0.026345,10.734478	1.591302,2.177062,0.833309	3.49442815781
18:33:15	1.595191,2.206219,0.833740	1.637330,2.183137,0.854917	0.088616,0.196392,10.279424	1.595191,2.206219,0.833740	3.51026391983
18:33:15	1.599759,2.237460,0.832782	1.667030,2.165798,0.853911	-0.019160,0.131726,10.554851	1.599759,2.237460,0.832782	3.50498533249
18:33:15	1.606090,2.267480,0.832211	1.664366,2.179048,0.855756	-0.237107,0.419128,10.442285	1.606090,2.267480,0.832211	3.49970674515
18:33:15	1.615794,2.294992,0.832066	1.660622,2.224971,0.857341	0.059875,0.035925,10.389595	1.615794,2.294992,0.832066	3.50498533249
18:33:15	1.627222,2.320222,0.832130	1.655015,2.240364,0.857560	-0.217947,-0.761616,10.741663	1.627222,2.320222,0.832130	3.50498533249
18:33:15	1.638541,2.343455,0.831771	1.680294,2.289048,0.857234	-0.361648,0.835862,10.277029	1.638541,2.343455,0.831771	3.49970674515
18:33:16	1.649115,2.363085,0.831996	1.673431,2.307070,0.858095	0.253872,0.069456,10.253079	1.649115,2.363085,0.831996	3.49970674515
18:33:16	1.658006,2.380015,0.832381	1.699019,2.326999,0.857670	0.354463,0.234712,9.968071	1.658006,2.380015,0.832381	3.50498533249
18:33:16	1.664938,2.396463,0.831879	1.725583,2.348832,0.856868	0.536484,0.531694,10.636282	1.664938,2.396463,0.831879	3.50498533249
18:33:16	1.671461,2.414459,0.830948	1.721322,2.370982,0.857772	-0.021555,0.407153,10.229128	1.671461,2.414459,0.830948	3.49442815781
18:33:16	1.677452,2.435840,0.830244	1.717533,2.392267,0.859501	0.198787,0.296982,10.518926	1.677452,2.435840,0.830244	3.49970674515
18:33:16	1.682262,2.461291,0.828812	1.745790,2.411614,0.861405	0.136516,0.423918,10.135723	1.682262,2.461291,0.828812	3.48914957047
18:33:16	1.686765,2.489715,0.827916	1.742761,2.428549,0.864591	0.440684,0.124541,10.245894	1.686765,2.489715,0.827916	3.48387098312
18:33:16	1.691076,2.520325,0.824988	1.740231,2.443659,0.802344	-0.313748,-0.316143,9.766890	1.691076,2.520325,0.824988	3.48387098312
18:33:16	1.694914,2.551537,0.814944	1.737562,2.489392,0.807456	0.390388,0.184417,10.121353	1.694914,2.551537,0.814944	3.48914957047
18:33:16	1.698849,2.580683,0.805749	1.767251,2.502635,0.828747	0.050295,0.356858,10.315349	1.698849,2.580683,0.805749	3.41524934769
18:33:17	1.705033,2.606750,0.802276	1.764899,2.548987,0.850221	0.198787,0.028740,10.648257	1.705033,2.606750,0.802276	3.41524934769
18:33:17	1.714338,2.631770,0.800293	1.761308,2.565209,0.795002	0.232317,0.910107,9.505833	1.714338,2.631770,0.800293	3.54193544388
18:33:17	1.723852,2.656438,0.792710	1.755868,2.582204,0.798203	0.205972,0.263452,10.250684	1.723852,2.656438,0.792710	3.47859239578
18:33:17	1.731491,2.680975,0.786317	1.782107,2.631353,0.814447	0.091011,0.531694,10.466235	1.731491,2.680975,0.786317	3.39413499832
18:33:17	1.735907,2.708533,0.785516	1.777407,2.648698,0.829629	-0.165256,-0.067061,10.791958	1.735907,2.708533,0.785516	3.4680352211
18:33:17	1.736736,2.740500,0.783427	1.806612,2.664374,0.767925	-0.153281,-0.335303,10.006392	1.736736,2.740500,0.783427	3.49442815781
18:33:17	1.735536,2.772891,0.776112	1.805958,2.675700,0.772460	0.117356,0.050295,10.370435	1.735536,2.772891,0.776112	3.47859239578
18:33:17	1.734059,2.803360,0.770106	1.806548,2.721849,0.787113	0.138911,0.359253,10.569221	1.734059,2.803360,0.770106	3.40997076035
18:33:17	1.733815,2.832520,0.767066	1.807475,2.767474,0.801040	0.160466,0.524509,10.456655	1.733815,2.832520,0.767066	3.40997076035
18:33:17	1.735274,2.861549,0.765749	1.807783,2.781874,0.808180	-0.150886,-0.031135,10.614727	1.735274,2.861549,0.765749	3.48914957047
18:33:18	1.739915,2.889113,0.761890	1.806929,2.828551,0.747148	0.045505,-0.136516,9.886641	1.739915,2.889113,0.761890	3.70029330254
18:33:18	1.747971,2.913862,0.752428	1.804380,2.843859,0.754122	0.490979,0.364043,10.109377	1.747971,2.913862,0.752428	3.45747804642
18:33:18	1.758295,2.936311,0.744261	1.799711,2.892861,0.774722	0.141306,0.541274,10.851833	1.758295,2.936311,0.744261	3.36246347427
18:33:18	1.768732,2.959053,0.741518	1.793573,2.911291,0.921885	0.340093,0.014370,10.686577	1.768732,2.959053,0.741518	3.25161314011
18:33:18	1.778226,2.982908,0.742897	1.819277,2.929725,0.864725	0.093406,0.074246,10.195598	1.778226,2.982908,0.742897	3.59472155571
18:33:18	1.786110,3.006140,0.740634	1.813504,2.947513,0.861485	0.407153,-0.208367,10.068662	1.786110,3.006140,0.740634	3.47331380844
