# Flight Log 
# 25 08 17 - 18:26:30
Time		X,Y,Z				goalX,goalY,goalZ		ddx,ddy,ddz			angularx,angulary,angularz	battery
18:26:31	3.120499,1.570423,0.356306	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	3.120499,1.570423,0.356306	0
18:26:31	3.120499,1.570425,0.356336	2.972231,1.530539,0.446322	0.000000,0.000000,0.000000	3.120499,1.570425,0.356336	0
18:26:31	3.120445,1.570500,0.356360	2.972229,1.530545,0.446333	0.000000,0.000000,0.000000	3.120445,1.570500,0.356360	0
18:26:31	3.120489,1.570435,0.356334	2.972224,1.530558,0.446320	0.000000,0.000000,0.000000	3.120489,1.570435,0.356334	0
18:26:31	3.120469,1.570502,0.356357	2.972216,1.530566,0.446336	0.000000,0.000000,0.000000	3.120469,1.570502,0.356357	0
18:26:31	3.120504,1.570441,0.356319	2.972195,1.530614,0.446366	0.000000,0.000000,0.000000	3.120504,1.570441,0.356319	0
18:26:31	3.120482,1.570400,0.356286	2.972212,1.530558,0.446343	0.000000,0.000000,0.000000	3.120482,1.570400,0.356286	0
18:26:31	3.120467,1.570497,0.356338	2.972213,1.530563,0.446346	0.000000,0.000000,0.000000	3.120467,1.570497,0.356338	0
18:26:31	3.120485,1.570451,0.356337	2.972194,1.530607,0.446351	0.000000,0.000000,0.000000	3.120485,1.570451,0.356337	0
18:26:31	3.120495,1.570441,0.356327	2.972221,1.530559,0.446337	0.000000,0.000000,0.000000	3.120495,1.570441,0.356327	0
18:26:31	3.120455,1.570515,0.356295	2.972220,1.530560,0.446345	0.000000,0.000000,0.000000	3.120455,1.570515,0.356295	0
18:26:32	3.120467,1.570506,0.356351	2.972201,1.530602,0.446365	0.000000,0.000000,0.000000	3.120467,1.570506,0.356351	0
18:26:32	3.120493,1.570445,0.356327	2.972213,1.530552,0.446345	0.000000,0.000000,0.000000	3.120493,1.570445,0.356327	0
18:26:32	3.120471,1.570496,0.356360	2.972166,1.530570,0.446357	0.000000,0.000000,0.000000	3.120471,1.570496,0.356360	0
18:26:32	3.120482,1.570424,0.356335	2.972197,1.530609,0.446374	0.000000,0.000000,0.000000	3.120482,1.570424,0.356335	0
18:26:32	3.120493,1.570439,0.356325	2.972231,1.530554,0.446351	0.000000,0.000000,0.000000	3.120493,1.570439,0.356325	0
18:26:32	3.120455,1.570502,0.356361	2.972212,1.530536,0.446318	0.000000,0.000000,0.000000	3.120455,1.570502,0.356361	0
18:26:32	3.120490,1.570444,0.356354	2.972223,1.530558,0.446337	0.000000,0.000000,0.000000	3.120490,1.570444,0.356354	0
18:26:32	3.120474,1.570485,0.356369	2.972207,1.530557,0.446351	0.000000,0.000000,0.000000	3.120474,1.570485,0.356369	0
18:26:32	3.120511,1.570353,0.356289	2.972232,1.530545,0.446326	0.000000,0.000000,0.000000	3.120511,1.570353,0.356289	0
18:26:32	3.120486,1.570433,0.356340	2.972225,1.530532,0.446307	0.000000,0.000000,0.000000	3.120486,1.570433,0.356340	0
18:26:33	3.120502,1.570437,0.356338	2.972246,1.530473,0.446290	0.000000,0.000000,0.000000	3.120502,1.570437,0.356338	0
18:26:33	3.120438,1.570494,0.356292	2.972210,1.530555,0.446349	0.000000,0.000000,0.000000	3.120438,1.570494,0.356292	0
18:26:33	3.120481,1.570330,0.356221	2.972207,1.530565,0.446351	0.000000,0.000000,0.000000	3.120481,1.570330,0.356221	0
18:26:33	3.120487,1.570431,0.356315	2.972215,1.530548,0.446327	0.000000,0.000000,0.000000	3.120487,1.570431,0.356315	0
18:26:33	3.120489,1.570437,0.356329	2.972217,1.530548,0.446337	0.000000,0.000000,0.000000	3.120489,1.570437,0.356329	0
18:26:33	3.120497,1.570428,0.356340	2.972196,1.530605,0.446369	0.000000,0.000000,0.000000	3.120497,1.570428,0.356340	0
18:26:33	3.120456,1.570534,0.356310	2.972204,1.530615,0.446356	0.000000,0.000000,0.000000	3.120456,1.570534,0.356310	0
18:26:33	3.120477,1.570427,0.356299	2.972188,1.530535,0.446327	0.000000,0.000000,0.000000	3.120477,1.570427,0.356299	0
18:26:33	3.120497,1.570361,0.356278	2.972205,1.530557,0.446355	0.000000,0.000000,0.000000	3.120497,1.570361,0.356278	0
18:26:33	3.120460,1.570506,0.356370	2.972224,1.530524,0.446270	0.000000,0.000000,0.000000	3.120460,1.570506,0.356370	0
18:26:34	3.120487,1.570444,0.356324	2.972208,1.530555,0.446343	0.000000,0.000000,0.000000	3.120487,1.570444,0.356324	0
18:26:34	3.120493,1.570428,0.356315	2.972228,1.530546,0.446322	0.000000,0.000000,0.000000	3.120493,1.570428,0.356315	0
18:26:34	3.120469,1.570510,0.356332	2.972202,1.530609,0.446373	0.000000,0.000000,0.000000	3.120469,1.570510,0.356332	0
18:26:34	3.120482,1.570444,0.356337	2.972207,1.530605,0.446371	0.000000,0.000000,0.000000	3.120482,1.570444,0.356337	0
18:26:34	3.120465,1.570493,0.356346	2.972243,1.530487,0.446309	0.000000,0.000000,0.000000	3.120465,1.570493,0.356346	0
18:26:34	3.120494,1.570432,0.356330	2.972199,1.530600,0.446355	0.000000,0.000000,0.000000	3.120494,1.570432,0.356330	0
18:26:34	3.120493,1.570436,0.356332	2.972197,1.530602,0.446359	0.000000,0.000000,0.000000	3.120493,1.570436,0.356332	0
18:26:34	3.120463,1.570496,0.356349	2.972212,1.530540,0.446345	0.000000,0.000000,0.000000	3.120463,1.570496,0.356349	0
18:26:34	3.120465,1.570492,0.356366	2.972199,1.530526,0.446302	0.000000,0.000000,0.000000	3.120465,1.570492,0.356366	0
18:26:34	3.120481,1.570496,0.356339	2.972203,1.530605,0.446353	0.000000,0.000000,0.000000	3.120481,1.570496,0.356339	0
18:26:35	3.120490,1.570424,0.356295	2.972207,1.530602,0.446361	0.000000,0.000000,0.000000	3.120490,1.570424,0.356295	0
18:26:35	3.120479,1.570494,0.356336	2.972221,1.530554,0.446348	0.000000,0.000000,0.000000	3.120479,1.570494,0.356336	0
18:26:35	3.120488,1.570450,0.356337	2.972197,1.530609,0.446366	0.000000,0.000000,0.000000	3.120488,1.570450,0.356337	0
18:26:35	3.120491,1.570442,0.356316	2.972209,1.530555,0.446354	0.000000,0.000000,0.000000	3.120491,1.570442,0.356316	0
18:26:35	3.120491,1.570444,0.356317	2.972220,1.530569,0.446344	0.000000,0.000000,0.000000	3.120491,1.570444,0.356317	0
18:26:35	3.120450,1.570504,0.356365	2.972211,1.530535,0.446338	0.000000,0.000000,0.000000	3.120450,1.570504,0.356365	0
18:26:35	3.120460,1.570507,0.356344	2.972219,1.530555,0.446337	0.000000,0.000000,0.000000	3.120460,1.570507,0.356344	0
18:26:35	3.120453,1.570513,0.356357	2.972189,1.530613,0.446368	0.000000,0.000000,0.000000	3.120453,1.570513,0.356357	0
18:26:35	3.120490,1.570433,0.356330	2.972197,1.530613,0.446351	0.000000,0.000000,0.000000	3.120490,1.570433,0.356330	0
18:26:35	3.120477,1.570426,0.356321	2.972208,1.530601,0.446362	0.000000,0.000000,0.000000	3.120477,1.570426,0.356321	0
18:26:36	3.120481,1.570480,0.356339	2.972208,1.530599,0.446363	0.000000,0.000000,0.000000	3.120481,1.570480,0.356339	0
18:26:36	3.120489,1.570451,0.356338	2.972218,1.530544,0.446317	0.000000,0.000000,0.000000	3.120489,1.570451,0.356338	0
18:26:36	3.120501,1.570451,0.356332	2.972218,1.530565,0.446344	0.000000,0.000000,0.000000	3.120501,1.570451,0.356332	0
18:26:36	3.120500,1.570428,0.356297	2.972218,1.530566,0.446354	0.000000,0.000000,0.000000	3.120500,1.570428,0.356297	0
18:26:36	3.120496,1.570438,0.356314	2.972237,1.530487,0.446317	0.000000,0.000000,0.000000	3.120496,1.570438,0.356314	0
18:26:36	3.120496,1.570441,0.356319	2.972201,1.530544,0.446343	0.000000,0.000000,0.000000	3.120496,1.570441,0.356319	0
18:26:36	3.120475,1.570504,0.356344	2.972216,1.530541,0.446339	0.000000,0.000000,0.000000	3.120475,1.570504,0.356344	0
18:26:36	3.120475,1.570501,0.356363	2.972208,1.530546,0.446353	0.000000,0.000000,0.000000	3.120475,1.570501,0.356363	0
18:26:36	3.120478,1.570442,0.356347	2.972191,1.530599,0.446377	0.000000,0.000000,0.000000	3.120478,1.570442,0.356347	0
18:26:36	3.120463,1.570498,0.356369	2.972201,1.530607,0.446363	0.000000,0.000000,0.000000	3.120463,1.570498,0.356369	0
18:26:37	3.120474,1.570498,0.356348	2.972218,1.530561,0.446337	0.000000,0.000000,0.000000	3.120474,1.570498,0.356348	0
18:26:37	3.120466,1.570508,0.356362	2.972216,1.530556,0.446324	0.000000,0.000000,0.000000	3.120466,1.570508,0.356362	0
18:26:37	3.120461,1.570492,0.356352	2.972191,1.530613,0.446359	0.000000,0.000000,0.000000	3.120461,1.570492,0.356352	0
18:26:37	3.120465,1.570512,0.356350	2.972197,1.530607,0.446375	0.000000,0.000000,0.000000	3.120465,1.570512,0.356350	0
18:26:37	3.120484,1.570447,0.356306	2.972225,1.530556,0.446344	0.000000,0.000000,0.000000	3.120484,1.570447,0.356306	0
18:26:37	3.120484,1.570451,0.356323	2.972224,1.530538,0.446322	0.000000,0.000000,0.000000	3.120484,1.570451,0.356323	0
18:26:37	3.120497,1.570449,0.356334	2.972199,1.530596,0.446380	0.000000,0.000000,0.000000	3.120497,1.570449,0.356334	0
18:26:37	3.120479,1.570508,0.356355	2.972222,1.530548,0.446358	0.000000,0.000000,0.000000	3.120479,1.570508,0.356355	0
18:26:37	3.120492,1.570447,0.356317	2.972212,1.530591,0.446367	0.000000,0.000000,0.000000	3.120492,1.570447,0.356317	0
18:26:37	3.120473,1.570491,0.356351	2.972201,1.530606,0.446371	0.000000,0.000000,0.000000	3.120473,1.570491,0.356351	0
18:26:38	3.120488,1.570443,0.356318	2.972212,1.530550,0.446364	0.000000,0.000000,0.000000	3.120488,1.570443,0.356318	0
18:26:38	3.120509,1.570370,0.356276	2.972222,1.530525,0.446348	0.000000,0.000000,0.000000	3.120509,1.570370,0.356276	0
18:26:38	3.120479,1.570449,0.356352	2.972206,1.530504,0.446312	0.000000,0.000000,0.000000	3.120479,1.570449,0.356352	0
18:26:38	3.120463,1.570498,0.356328	2.972235,1.530486,0.446321	0.000000,0.000000,0.000000	3.120463,1.570498,0.356328	0
18:26:38	3.120485,1.570449,0.356354	2.972220,1.530556,0.446348	0.000000,0.000000,0.000000	3.120485,1.570449,0.356354	0
18:26:38	3.120485,1.570408,0.356315	2.972221,1.530560,0.446363	0.000000,0.000000,0.000000	3.120485,1.570408,0.356315	0
18:26:38	3.120479,1.570506,0.356341	2.972233,1.530532,0.446306	0.000000,0.000000,0.000000	3.120479,1.570506,0.356341	0
18:26:38	3.120471,1.570507,0.356359	2.972244,1.530488,0.446282	0.000000,0.000000,0.000000	3.120471,1.570507,0.356359	0
18:26:38	3.120500,1.570445,0.356325	2.972197,1.530610,0.446367	0.000000,0.000000,0.000000	3.120500,1.570445,0.356325	0
18:26:38	3.120499,1.570421,0.356298	2.972237,1.530563,0.446351	0.000000,0.000000,0.000000	3.120499,1.570421,0.356298	0
18:26:39	3.120518,1.570360,0.356279	2.972243,1.530510,0.446311	0.000000,0.000000,0.000000	3.120518,1.570360,0.356279	0
18:26:39	3.120471,1.570517,0.356345	2.972235,1.530526,0.446311	0.000000,0.000000,0.000000	3.120471,1.570517,0.356345	0
18:26:39	3.120465,1.570499,0.356359	2.972224,1.530559,0.446346	0.000000,0.000000,0.000000	3.120465,1.570499,0.356359	0
18:26:39	3.120480,1.570499,0.356340	2.972238,1.530549,0.446346	0.000000,0.000000,0.000000	3.120480,1.570499,0.356340	0
18:26:39	3.120467,1.570429,0.356283	2.972223,1.530548,0.446341	0.000000,0.000000,0.000000	3.120467,1.570429,0.356283	0
18:26:39	3.120486,1.570453,0.356314	2.972205,1.530604,0.446356	0.000000,0.000000,0.000000	3.120486,1.570453,0.356314	0
18:26:39	3.120485,1.570452,0.356344	2.972186,1.530579,0.446339	0.000000,0.000000,0.000000	3.120485,1.570452,0.356344	0
18:26:39	3.120495,1.570434,0.356303	2.972215,1.530561,0.446368	0.000000,0.000000,0.000000	3.120495,1.570434,0.356303	0
18:26:39	3.120493,1.570364,0.356287	2.972214,1.530604,0.446356	0.000000,0.000000,0.000000	3.120493,1.570364,0.356287	0
18:26:39	3.120523,1.570350,0.356303	2.972232,1.530538,0.446328	0.000000,0.000000,0.000000	3.120523,1.570350,0.356303	0
18:26:40	3.120470,1.570489,0.356380	2.972210,1.530599,0.446365	0.000000,0.000000,0.000000	3.120470,1.570489,0.356380	0
18:26:40	3.120479,1.570485,0.356364	2.972197,1.530598,0.446368	0.000000,0.000000,0.000000	3.120479,1.570485,0.356364	0
18:26:40	3.120473,1.570427,0.356322	2.972217,1.530595,0.446345	0.000000,0.000000,0.000000	3.120473,1.570427,0.356322	0
18:26:40	3.120467,1.570496,0.356353	2.972215,1.530556,0.446341	0.000000,0.000000,0.000000	3.120467,1.570496,0.356353	0
18:26:40	3.120470,1.570505,0.356374	2.972209,1.530603,0.446350	0.000000,0.000000,0.000000	3.120470,1.570505,0.356374	0
18:26:40	3.120501,1.570427,0.356310	2.972235,1.530552,0.446342	0.000000,0.000000,0.000000	3.120501,1.570427,0.356310	0
18:26:40	3.120510,1.570359,0.356295	2.972225,1.530559,0.446330	0.000000,0.000000,0.000000	3.120510,1.570359,0.356295	0
