# Flight Log 
# 25 08 17 - 18:30:42
Time		X,Y,Z				goalX,goalY,goalZ		ddx,ddy,ddz			angularx,angulary,angularz	battery
18:30:43	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0
18:30:43	2.033741,3.844862,0.608891	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033741,3.844862,0.608891	0
18:30:43	2.033747,3.844858,0.608883	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033747,3.844858,0.608883	0
18:30:43	2.033756,3.844894,0.608885	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033756,3.844894,0.608885	0
18:30:43	2.033740,3.844889,0.608892	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033740,3.844889,0.608892	0
18:30:43	2.033749,3.844870,0.608884	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033749,3.844870,0.608884	0
18:30:43	2.033750,3.844864,0.608889	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033750,3.844864,0.608889	0
18:30:43	2.033733,3.844869,0.608882	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033733,3.844869,0.608882	0
18:30:43	2.033768,3.844890,0.608897	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033768,3.844890,0.608897	0
18:30:43	2.033745,3.844867,0.608904	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033745,3.844867,0.608904	0
18:30:43	2.033743,3.844877,0.608838	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033743,3.844877,0.608838	0
18:30:44	2.033761,3.844872,0.608876	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033761,3.844872,0.608876	0
18:30:44	2.033748,3.844884,0.608882	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033748,3.844884,0.608882	0
18:30:44	2.033768,3.844876,0.608892	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033768,3.844876,0.608892	0
18:30:44	2.033776,3.844896,0.608870	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033776,3.844896,0.608870	0
18:30:44	2.033734,3.844858,0.608888	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033734,3.844858,0.608888	0
18:30:44	2.033736,3.844861,0.608887	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033736,3.844861,0.608887	0
18:30:44	2.033742,3.844860,0.608895	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033742,3.844860,0.608895	0
18:30:44	2.033764,3.844916,0.608867	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033764,3.844916,0.608867	0
18:30:44	2.033749,3.844858,0.608883	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033749,3.844858,0.608883	0
18:30:44	2.033749,3.844863,0.608874	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033749,3.844863,0.608874	0
18:30:45	2.033743,3.844863,0.608885	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033743,3.844863,0.608885	0
18:30:45	2.033744,3.844856,0.608880	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033744,3.844856,0.608880	0
18:30:45	2.033768,3.844874,0.608881	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033768,3.844874,0.608881	0
18:30:45	2.033737,3.844864,0.608886	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033737,3.844864,0.608886	0
18:30:45	2.033765,3.844874,0.608883	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033765,3.844874,0.608883	0
18:30:45	2.033747,3.844858,0.608885	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033747,3.844858,0.608885	0
18:30:45	2.033768,3.844898,0.608872	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033768,3.844898,0.608872	0
18:30:45	2.033743,3.844863,0.608884	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	2.033743,3.844863,0.608884	0
