# Flight Log 
# 25 08 17 - 18:32:07
Time		X,Y,Z				goalX,goalY,goalZ		ddx,ddy,ddz			angularx,angulary,angularz	battery
18:32:07	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0
18:32:07	0.672563,2.226636,0.327442	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.672563,2.226636,0.327442	0
18:32:07	0.672560,2.226652,0.327442	0.675678,2.067014,0.348446	0.000000,0.000000,0.000000	0.672560,2.226652,0.327442	0
18:32:07	0.672550,2.226646,0.327449	0.675685,2.067006,0.348435	0.000000,0.000000,0.000000	0.672550,2.226646,0.327449	0
18:32:07	0.672557,2.226639,0.327438	0.675676,2.067019,0.348444	0.000000,0.000000,0.000000	0.672557,2.226639,0.327438	0
18:32:07	0.672515,2.226609,0.327359	0.675673,2.067015,0.348458	0.000000,0.000000,0.000000	0.672515,2.226609,0.327359	0
18:32:07	0.672545,2.226555,0.327430	0.675677,2.067011,0.348451	0.000000,0.000000,0.000000	0.672545,2.226555,0.327430	0
18:32:07	0.672537,2.226559,0.327442	0.675676,2.067012,0.348448	0.000000,0.000000,0.000000	0.672537,2.226559,0.327442	0
18:32:07	0.672563,2.226647,0.327435	0.675639,2.066916,0.348448	0.000000,0.000000,0.000000	0.672563,2.226647,0.327435	0
18:32:07	0.672556,2.226637,0.327442	0.675636,2.066982,0.348375	0.000000,0.000000,0.000000	0.672563,2.226641,0.327445	0
18:32:07	0.672521,2.226604,0.327365	0.675642,2.066976,0.348375	0.000000,0.000000,0.000000	0.672521,2.226604,0.327365	0
18:32:08	0.672565,2.226629,0.327452	0.675684,2.067018,0.348441	0.000000,0.000000,0.000000	0.672565,2.226629,0.327452	0
18:32:08	0.672507,2.226591,0.327368	0.675683,2.067026,0.348443	0.000000,0.000000,0.000000	0.672507,2.226591,0.327368	0
18:32:08	0.672568,2.226635,0.327454	0.675649,2.066930,0.348451	0.000000,0.000000,0.000000	0.672568,2.226635,0.327454	0
18:32:08	0.672569,2.226631,0.327436	0.675674,2.067029,0.348446	0.000000,0.000000,0.000000	0.672569,2.226631,0.327436	0
18:32:08	0.672507,2.226605,0.327349	0.675673,2.067021,0.348455	0.000000,0.000000,0.000000	0.672507,2.226605,0.327349	0
18:32:08	0.672566,2.226656,0.327440	0.675674,2.067021,0.348449	0.000000,0.000000,0.000000	0.672566,2.226656,0.327440	0
18:32:08	0.672562,2.226645,0.327433	0.675669,2.067025,0.348455	0.000000,0.000000,0.000000	0.672562,2.226645,0.327433	0
18:32:08	0.672576,2.226648,0.327440	0.675676,2.067006,0.348447	0.000000,0.000000,0.000000	0.672576,2.226648,0.327440	0
18:32:08	0.672541,2.226551,0.327428	0.675677,2.067007,0.348444	0.000000,0.000000,0.000000	0.672541,2.226551,0.327428	0
18:32:08	0.672561,2.226633,0.327434	0.675682,2.067013,0.348446	0.000000,0.000000,0.000000	0.672561,2.226633,0.327434	0
18:32:09	0.672570,2.226639,0.327435	0.675627,2.066981,0.348383	0.000000,0.000000,0.000000	0.672570,2.226639,0.327435	0
18:32:09	0.672569,2.226639,0.327449	0.675638,2.066993,0.348392	0.000000,0.000000,0.000000	0.672569,2.226639,0.327449	0
18:32:09	0.672569,2.226636,0.327441	0.675636,2.066987,0.348378	0.000000,0.000000,0.000000	0.672569,2.226636,0.327441	0
18:32:09	0.672564,2.226643,0.327442	0.675674,2.067031,0.348444	0.000000,0.000000,0.000000	0.672564,2.226643,0.327442	0
18:32:09	0.672535,2.226553,0.327447	0.675676,2.067019,0.348447	0.000000,0.000000,0.000000	0.672535,2.226553,0.327447	0
18:32:09	0.672573,2.226644,0.327451	0.675677,2.067014,0.348449	0.000000,0.000000,0.000000	0.672573,2.226644,0.327451	0
18:32:09	0.672567,2.226640,0.327439	0.675683,2.067018,0.348448	0.000000,0.000000,0.000000	0.672567,2.226640,0.327439	0
18:32:09	0.672561,2.226643,0.327436	0.675680,2.067015,0.348453	0.000000,0.000000,0.000000	0.672561,2.226643,0.327436	0
18:32:09	0.672568,2.226633,0.327437	0.675646,2.066844,0.343852	0.000000,0.000000,0.000000	0.672568,2.226633,0.327437	0
18:32:09	0.672569,2.226634,0.327457	0.675631,2.066844,0.343857	0.000000,0.000000,0.000000	0.672569,2.226634,0.327457	0
18:32:10	0.672571,2.226639,0.327452	0.675654,2.066792,0.343916	0.000000,0.000000,0.000000	0.672571,2.226639,0.327452	0
18:32:10	0.672562,2.226633,0.327443	0.675674,2.066896,0.343910	0.000000,0.000000,0.000000	0.672562,2.226633,0.327443	0
18:32:10	0.672553,2.226637,0.327428	0.675677,2.066896,0.343928	0.000000,0.000000,0.000000	0.672553,2.226637,0.327428	0
18:32:10	0.672511,2.226593,0.327348	0.675686,2.066889,0.343928	0.000000,0.000000,0.000000	0.672511,2.226593,0.327348	0
18:32:10	0.672579,2.226641,0.327451	0.675685,2.066889,0.343924	0.000000,0.000000,0.000000	0.672579,2.226641,0.327451	0
18:32:10	0.672565,2.226644,0.327445	0.675681,2.066888,0.343919	0.000000,0.000000,0.000000	0.672565,2.226644,0.327445	0
18:32:10	0.672569,2.226630,0.327439	0.675674,2.067020,0.348439	0.000000,0.000000,0.000000	0.672569,2.226630,0.327439	0
18:32:10	0.672552,2.226625,0.327444	0.675610,2.066758,0.343854	0.000000,0.000000,0.000000	0.672552,2.226625,0.327444	0
18:32:10	0.672563,2.226642,0.327440	0.675679,2.067019,0.348450	0.000000,0.000000,0.000000	0.672563,2.226642,0.327440	0
18:32:10	0.672555,2.226648,0.327450	0.675683,2.066872,0.343918	0.000000,0.000000,0.000000	0.672555,2.226648,0.327450	0
18:32:11	0.672569,2.226639,0.327454	0.675673,2.066879,0.343913	0.000000,0.000000,0.000000	0.672569,2.226639,0.327454	0
18:32:11	0.672559,2.226637,0.327433	0.675625,2.066847,0.343851	0.000000,0.000000,0.000000	0.672559,2.226637,0.327433	0
18:32:11	0.672565,2.226635,0.327429	0.677896,2.066915,0.343866	0.000000,0.000000,0.000000	0.672565,2.226635,0.327429	0
18:32:11	0.672550,2.226640,0.327437	0.677918,2.066856,0.343934	0.000000,0.000000,0.000000	0.672550,2.226640,0.327437	0
18:32:11	0.672562,2.226646,0.327436	0.677901,2.066900,0.343851	0.000000,0.000000,0.000000	0.672562,2.226646,0.327436	0
18:32:11	0.672513,2.226608,0.327355	0.677938,2.067066,0.348428	0.000000,0.000000,0.000000	0.672513,2.226608,0.327355	0
18:32:11	0.672552,2.226643,0.327430	0.680178,2.067067,0.348434	0.000000,0.000000,0.000000	0.672552,2.226643,0.327430	0
18:32:11	0.672558,2.226640,0.327431	0.680326,2.067188,0.348731	0.000000,0.000000,0.000000	0.672558,2.226640,0.327431	0
18:32:11	0.672557,2.226639,0.327433	0.682615,2.067300,0.348713	0.000000,0.000000,0.000000	0.672557,2.226639,0.327433	0
18:32:11	0.672564,2.226643,0.327446	0.685246,2.067692,0.354004	0.000000,0.000000,0.000000	0.672564,2.226643,0.327446	0
18:32:12	0.672556,2.226634,0.327442	0.690172,2.068174,0.354325	0.000000,0.000000,0.000000	0.672556,2.226634,0.327442	0
18:32:12	0.672510,2.226596,0.327352	0.692790,2.068468,0.354617	0.000000,0.000000,0.000000	0.672510,2.226596,0.327352	0
18:32:12	0.672516,2.226599,0.327356	0.697904,2.069489,0.359825	0.000000,0.000000,0.000000	0.672516,2.226599,0.327356	0
18:32:12	0.672566,2.226646,0.327460	0.700566,2.070127,0.365054	0.000000,0.000000,0.000000	0.672566,2.226646,0.327460	0
18:32:12	0.672573,2.226634,0.327436	0.705888,2.071313,0.365447	0.000000,0.000000,0.000000	0.672573,2.226634,0.327436	0
18:32:12	0.672559,2.226634,0.327442	0.711093,2.072858,0.370698	0.000000,0.000000,0.000000	0.672559,2.226634,0.327442	0
18:32:12	0.672563,2.226633,0.327440	0.713256,2.074165,0.380278	0.000000,0.000000,0.000000	0.672563,2.226633,0.327440	0
18:32:12	0.672565,2.226628,0.327438	0.716051,2.075427,0.385651	0.000000,0.000000,0.000000	0.672565,2.226628,0.327438	0
18:32:12	0.672557,2.226640,0.327442	0.719616,2.077091,0.392153	0.000000,0.000000,0.000000	0.672557,2.226640,0.327442	0
18:32:12	0.672506,2.226592,0.327347	0.722521,2.078750,0.397744	0.000000,0.000000,0.000000	0.672506,2.226592,0.327347	0
18:32:13	0.672553,2.226627,0.327433	0.723783,2.079985,0.404847	0.000000,0.000000,0.000000	0.672553,2.226627,0.327433	0
18:32:13	0.672505,2.226594,0.327345	0.727377,2.083144,0.416924	0.000000,0.000000,0.000000	0.672505,2.226594,0.327345	0
18:32:13	0.672537,2.226558,0.327433	0.729055,2.084154,0.419704	0.000000,0.000000,0.000000	0.672537,2.226558,0.327433	0
18:32:13	0.672554,2.226635,0.327442	0.732662,2.087912,0.432207	0.000000,0.000000,0.000000	0.672554,2.226635,0.327442	0
18:32:13	0.672507,2.226597,0.327360	0.736579,2.091187,0.439778	0.000000,0.000000,0.000000	0.672507,2.226597,0.327360	0
18:32:13	0.672557,2.226638,0.327437	0.739528,2.093877,0.445642	0.000000,0.000000,0.000000	0.672557,2.226638,0.327437	0
18:32:13	0.672561,2.226642,0.327449	0.743435,2.097720,0.453233	0.000000,0.000000,0.000000	0.672561,2.226642,0.327449	0
18:32:13	0.672558,2.226634,0.327437	0.746267,2.100765,0.458910	0.000000,0.000000,0.000000	0.672558,2.226634,0.327437	0
18:32:13	0.672555,2.226640,0.327448	0.751037,2.108133,0.474390	0.000000,0.000000,0.000000	0.672555,2.226640,0.327448	0
18:32:13	0.672569,2.226624,0.327445	0.751035,2.108140,0.474392	0.000000,0.000000,0.000000	0.672569,2.226624,0.327445	0
18:32:14	0.672574,2.226634,0.327445	0.752453,2.111849,0.482870	0.000000,0.000000,0.000000	0.672574,2.226634,0.327445	0
18:32:14	0.672575,2.226637,0.327440	0.754936,2.115363,0.487844	0.000000,0.000000,0.000000	0.672575,2.226637,0.327440	0
18:32:14	0.672565,2.226641,0.327436	0.755972,2.116896,0.489883	0.000000,0.000000,0.000000	0.672565,2.226641,0.327436	0
18:32:14	0.672514,2.226600,0.327349	0.759374,2.122217,0.496665	0.000000,0.000000,0.000000	0.672514,2.226600,0.327349	0
18:32:14	0.672569,2.226638,0.327436	0.759619,2.124930,0.502859	0.000000,0.000000,0.000000	0.672569,2.226638,0.327436	0
18:32:14	0.672565,2.226642,0.327435	0.763666,2.129364,0.505039	0.000000,0.000000,0.000000	0.672565,2.226642,0.327435	0
18:32:14	0.672561,2.226618,0.327441	0.766642,2.132599,0.505169	0.000000,0.000000,0.000000	0.672561,2.226618,0.327441	0
18:32:14	0.672562,2.226631,0.327441	0.770693,2.137706,0.507066	0.000000,0.000000,0.000000	0.672562,2.226631,0.327441	0
18:32:14	0.672555,2.226633,0.327433	0.772755,2.142037,0.510834	0.000000,0.000000,0.000000	0.672555,2.226633,0.327433	0
18:32:14	0.672554,2.226639,0.327438	0.775595,2.145325,0.510418	0.000000,0.000000,0.000000	0.672554,2.226639,0.327438	0
18:32:15	0.672550,2.226645,0.327446	0.777591,2.149965,0.513971	0.000000,0.000000,0.000000	0.672550,2.226645,0.327446	0
18:32:15	0.672564,2.226629,0.327437	0.780340,2.153473,0.513233	0.000000,0.000000,0.000000	0.672564,2.226629,0.327437	0
18:32:15	0.672561,2.226628,0.327446	0.783849,2.159457,0.513880	0.000000,0.000000,0.000000	0.672561,2.226628,0.327446	0
18:32:15	0.672522,2.226582,0.327360	0.784787,2.162027,0.515471	0.000000,0.000000,0.000000	0.672522,2.226582,0.327360	0
18:32:15	0.672554,2.226629,0.327446	0.787263,2.165671,0.514293	0.000000,0.000000,0.000000	0.672554,2.226629,0.327446	0
18:32:15	0.672569,2.226634,0.327448	0.789530,2.169126,0.512935	0.000000,0.000000,0.000000	0.672569,2.226634,0.327448	0
18:32:15	0.672569,2.226628,0.327446	0.791182,2.174783,0.515523	0.000000,0.000000,0.000000	0.672569,2.226628,0.327446	0
18:32:15	0.672565,2.226646,0.327438	0.794643,2.177796,0.509604	0.000000,0.000000,0.000000	0.672565,2.226646,0.327438	0
18:32:15	0.672562,2.226636,0.327435	0.795426,2.180748,0.510747	0.000000,0.000000,0.000000	0.672562,2.226636,0.327435	0
18:32:15	0.672512,2.226593,0.327354	0.798001,2.187350,0.509859	0.000000,0.000000,0.000000	0.672512,2.226593,0.327354	0
18:32:16	0.672564,2.226632,0.327419	0.801731,2.193499,0.504263	0.000000,0.000000,0.000000	0.672564,2.226632,0.327419	0
18:32:16	0.672574,2.226641,0.327436	0.801931,2.197465,0.506476	0.000000,0.000000,0.000000	0.672574,2.226641,0.327436	0
18:32:16	0.672570,2.226632,0.327434	0.803802,2.203930,0.504768	0.000000,0.000000,0.000000	0.672570,2.226632,0.327434	0
18:32:16	0.672541,2.226648,0.327454	0.805120,2.207286,0.502421	0.000000,0.000000,0.000000	0.672541,2.226648,0.327454	0
18:32:16	0.672572,2.226635,0.327438	0.804896,2.210685,0.504176	0.000000,0.000000,0.000000	0.672572,2.226635,0.327438	0
18:32:16	0.672553,2.226635,0.327426	0.806978,2.214077,0.499197	0.000000,0.000000,0.000000	0.672553,2.226635,0.327426	0
18:32:16	0.672505,2.226599,0.327354	0.806971,2.214081,0.499198	0.000000,0.000000,0.000000	0.672505,2.226599,0.327354	0
18:32:16	0.672497,2.226596,0.327352	0.807143,2.216959,0.499411	0.000000,0.000000,0.000000	0.672497,2.226596,0.327352	0
18:32:16	0.672503,2.226594,0.327358	0.807971,2.217106,0.496814	0.000000,0.000000,0.000000	0.672503,2.226594,0.327358	0
