# Flight Log 
# 25 08 17 - 18:36:58
Time		X,Y,Z				goalX,goalY,goalZ		ddx,ddy,ddz			angularx,angulary,angularz	battery
18:36:58	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0
18:36:58	3.120502,1.570399,0.356222	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	3.120502,1.570399,0.356222	0
18:36:59	3.120501,1.570404,0.356212	2.972219,1.530531,0.446263	0.000000,0.000000,0.000000	3.120501,1.570404,0.356212	0
18:36:59	3.120505,1.570344,0.356191	2.972248,1.530477,0.446225	0.000000,0.000000,0.000000	3.120505,1.570344,0.356191	0
18:36:59	3.120497,1.570319,0.356142	2.972217,1.530448,0.446201	0.000000,0.000000,0.000000	3.120497,1.570319,0.356142	0
18:36:59	3.120520,1.570362,0.356229	2.972228,1.530515,0.446234	0.000000,0.000000,0.000000	3.120520,1.570362,0.356229	0
18:36:59	3.120499,1.570400,0.356223	2.972255,1.530455,0.446207	0.000000,0.000000,0.000000	3.120499,1.570400,0.356223	0
18:36:59	3.120468,1.570380,0.356204	2.972243,1.530461,0.446217	0.000000,0.000000,0.000000	3.120468,1.570380,0.356204	0
18:36:59	3.120484,1.570398,0.356190	2.972233,1.530522,0.446236	0.000000,0.000000,0.000000	3.120484,1.570398,0.356190	0
18:36:59	3.120473,1.570387,0.356203	2.972249,1.530473,0.446208	0.000000,0.000000,0.000000	3.120473,1.570387,0.356203	0
18:36:59	3.120517,1.570343,0.356203	2.972231,1.530431,0.446183	0.000000,0.000000,0.000000	3.120517,1.570343,0.356203	0
18:36:59	3.120500,1.570386,0.356160	2.972219,1.530521,0.446251	0.000000,0.000000,0.000000	3.120500,1.570386,0.356160	0
18:37:00	3.120505,1.570372,0.356152	2.972250,1.530452,0.446226	0.000000,0.000000,0.000000	3.120505,1.570372,0.356152	0
18:37:00	3.120484,1.570314,0.356147	2.972247,1.530462,0.446228	0.000000,0.000000,0.000000	3.120484,1.570314,0.356147	0
18:37:00	3.120516,1.570344,0.356203	2.972230,1.530522,0.446244	0.000000,0.000000,0.000000	3.120516,1.570344,0.356203	0
18:37:00	3.120512,1.570356,0.356185	2.972217,1.530506,0.446227	0.000000,0.000000,0.000000	3.120512,1.570356,0.356185	0
18:37:00	3.120492,1.570406,0.356245	2.972255,1.530468,0.446187	0.000000,0.000000,0.000000	3.120492,1.570406,0.356245	0
18:37:00	3.120494,1.570405,0.356212	2.972207,1.530499,0.446210	0.000000,0.000000,0.000000	3.120494,1.570405,0.356212	0
18:37:00	3.120506,1.570339,0.356192	2.972245,1.530468,0.446216	0.000000,0.000000,0.000000	3.120506,1.570339,0.356192	0
18:37:00	3.120499,1.570402,0.356216	2.972241,1.530461,0.446224	0.000000,0.000000,0.000000	3.120499,1.570402,0.356216	0
18:37:00	3.120487,1.570418,0.356235	2.972247,1.530470,0.446205	0.000000,0.000000,0.000000	3.120487,1.570418,0.356235	0
18:37:00	3.120511,1.570362,0.356211	2.972243,1.530470,0.446226	0.000000,0.000000,0.000000	3.120511,1.570362,0.356211	0
18:37:01	3.120500,1.570343,0.356196	2.972211,1.530495,0.446221	0.000000,0.000000,0.000000	3.120500,1.570343,0.356196	0
18:37:01	3.120511,1.570345,0.356183	2.972225,1.530439,0.446194	0.000000,0.000000,0.000000	3.120511,1.570345,0.356183	0
18:37:01	3.120468,1.570388,0.356188	2.972231,1.530523,0.446255	0.000000,0.000000,0.000000	3.120468,1.570388,0.356188	0
18:37:01	3.120526,1.570369,0.356186	2.972231,1.530513,0.446235	0.000000,0.000000,0.000000	3.120526,1.570369,0.356186	0
18:37:01	3.120490,1.570408,0.356228	2.972229,1.530428,0.446180	0.000000,0.000000,0.000000	3.120490,1.570408,0.356228	0
18:37:01	3.120503,1.570376,0.356099	2.972289,1.530473,0.446225	0.000000,0.000000,0.000000	3.120503,1.570376,0.356099	0
18:37:01	3.120516,1.570352,0.356187	2.972238,1.530457,0.446242	0.000000,0.000000,0.000000	3.120516,1.570352,0.356187	0
18:37:01	3.120500,1.570384,0.356165	2.972244,1.530468,0.446222	0.000000,0.000000,0.000000	3.120500,1.570384,0.356165	0
