# Flight Log 
# 25 08 17 - 18:33:05
Time		X,Y,Z				goalX,goalY,goalZ		ddx,ddy,ddz			angularx,angulary,angularz	battery
18:33:05	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0
18:33:05	0.672507,2.226599,0.327332	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.672507,2.226599,0.327332	0
18:33:05	0.672495,2.226603,0.327342	0.673358,2.066948,0.348368	0.000000,0.000000,0.000000	0.672495,2.226603,0.327342	0
18:33:05	0.672565,2.226633,0.327429	0.673347,2.066951,0.348376	0.000000,0.000000,0.000000	0.672565,2.226633,0.327429	0
18:33:05	0.672559,2.226652,0.327432	0.673409,2.066981,0.348443	0.000000,0.000000,0.000000	0.672559,2.226652,0.327432	0
18:33:05	0.672490,2.226595,0.327349	0.673404,2.066999,0.348444	0.000000,0.000000,0.000000	0.672490,2.226595,0.327349	0
18:33:05	0.672547,2.226640,0.327412	0.673343,2.066944,0.348382	0.000000,0.000000,0.000000	0.672547,2.226640,0.327412	0
18:33:05	0.672548,2.226640,0.327438	0.673393,2.066987,0.348429	0.000000,0.000000,0.000000	0.672548,2.226640,0.327438	0
18:33:06	0.672549,2.226630,0.327433	0.673394,2.066988,0.348449	0.000000,0.000000,0.000000	0.672549,2.226630,0.327433	0
18:33:06	0.672557,2.226637,0.327422	0.673394,2.066978,0.348446	0.000000,0.000000,0.000000	0.672557,2.226637,0.327422	0
18:33:06	0.672553,2.226638,0.327426	0.673401,2.066985,0.348437	0.000000,0.000000,0.000000	0.672553,2.226638,0.327426	0
18:33:06	0.672551,2.226626,0.327429	0.673398,2.066986,0.348440	0.000000,0.000000,0.000000	0.672551,2.226626,0.327429	0
18:33:06	0.672559,2.226634,0.327431	0.673397,2.066973,0.348442	0.000000,0.000000,0.000000	0.672559,2.226634,0.327431	0
18:33:06	0.672560,2.226633,0.327431	0.673403,2.066981,0.348444	0.000000,0.000000,0.000000	0.672560,2.226633,0.327431	0
18:33:06	0.672505,2.226605,0.327352	0.673405,2.066981,0.348444	0.000000,0.000000,0.000000	0.672505,2.226605,0.327352	0
18:33:06	0.672558,2.226638,0.327410	0.673356,2.066954,0.348384	0.000000,0.000000,0.000000	0.672558,2.226638,0.327410	0
18:33:06	0.672544,2.226638,0.327415	0.673402,2.066986,0.348428	0.000000,0.000000,0.000000	0.672544,2.226638,0.327415	0
18:33:06	0.672518,2.226544,0.327420	0.673390,2.066986,0.348432	0.000000,0.000000,0.000000	0.672518,2.226544,0.327420	0
18:33:07	0.672551,2.226630,0.327416	0.673367,2.066892,0.348437	0.000000,0.000000,0.000000	0.672551,2.226630,0.327416	0
18:33:07	0.672551,2.226646,0.327433	0.673397,2.066977,0.348433	0.000000,0.000000,0.000000	0.672551,2.226646,0.327433	0
18:33:07	0.672551,2.226638,0.327445	0.673396,2.066994,0.348445	0.000000,0.000000,0.000000	0.672551,2.226638,0.327445	0
18:33:07	0.672543,2.226645,0.327419	0.673397,2.066985,0.348455	0.000000,0.000000,0.000000	0.672543,2.226645,0.327419	0
18:33:07	0.672495,2.226598,0.327346	0.673389,2.066992,0.348435	0.000000,0.000000,0.000000	0.672495,2.226598,0.327346	0
