# Flight Log 
# 25 08 17 - 18:26:30
Time		X,Y,Z				goalX,goalY,goalZ		ddx,ddy,ddz			angularx,angulary,angularz	battery
18:26:31	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0
18:26:31	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0
18:26:31	0.699312,0.834266,0.409911	0.764453,0.907469,0.378311	0.000000,0.000000,0.000000	0.699312,0.834266,0.409911	0
18:26:31	0.699287,0.834237,0.409847	0.764429,0.907458,0.378369	0.000000,0.000000,0.000000	0.699287,0.834237,0.409847	0
18:26:31	0.699330,0.834280,0.409892	0.808565,0.950343,0.383200	-0.134121,0.136516,10.274634	0.699330,0.834280,0.409892	0
18:26:31	0.699317,0.834297,0.409911	0.764466,0.907452,0.378297	-0.136516,0.141306,10.265054	0.699317,0.834297,0.409911	0
18:26:31	0.699324,0.834281,0.409897	0.764428,0.907453,0.378347	-0.126936,0.138911,10.269844	0.699324,0.834281,0.409897	3.83225798607
18:26:31	0.699309,0.834300,0.409911	0.764414,0.907430,0.378142	-0.129331,0.138911,10.279424	0.699309,0.834300,0.409911	3.82697939873
18:26:31	0.699331,0.834281,0.409918	0.764427,0.907429,0.378138	-0.134121,0.134121,10.267449	0.699331,0.834281,0.409918	3.83225798607
18:26:31	0.699318,0.834285,0.409913	0.764443,0.907459,0.378351	-0.126936,0.143701,10.274634	0.699318,0.834285,0.409913	3.83225798607
18:26:31	0.699302,0.834284,0.409919	0.764412,0.907429,0.378227	-0.129331,0.136516,10.262659	0.699302,0.834284,0.409919	3.82697939873
18:26:32	0.699272,0.834231,0.409850	0.764409,0.907425,0.378246	-0.134121,0.143701,10.262659	0.699272,0.834231,0.409850	3.82697939873
18:26:32	0.699306,0.834276,0.409933	0.764462,0.907459,0.378286	-0.126936,0.146096,10.274634	0.699306,0.834276,0.409933	3.82697939873
18:26:32	0.699324,0.834279,0.409920	0.764442,0.907455,0.378334	-0.126936,0.143701,10.277029	0.699324,0.834279,0.409920	3.82697939873
18:26:32	0.699287,0.834231,0.409857	0.764459,0.907465,0.378304	-0.131726,0.138911,10.274634	0.699287,0.834231,0.409857	3.82697939873
18:26:32	0.699311,0.834281,0.409912	0.764426,0.907427,0.378138	-0.134121,0.146096,10.269844	0.699311,0.834281,0.409912	3.82697939873
18:26:32	0.699268,0.834242,0.409849	0.764405,0.907431,0.378219	-0.119751,0.136516,10.269844	0.699268,0.834242,0.409849	3.82697939873
18:26:32	0.699274,0.834238,0.409866	0.764444,0.907459,0.378360	-0.129331,0.136516,10.262659	0.699274,0.834238,0.409866	3.83225798607
18:26:32	0.699266,0.834232,0.409863	0.764429,0.907462,0.378303	-0.129331,0.138911,10.265054	0.699266,0.834232,0.409863	3.82697939873
18:26:32	0.699322,0.834275,0.409901	0.808637,0.950486,0.383218	-0.129331,0.141306,10.262659	0.699322,0.834275,0.409901	3.82697939873
18:26:32	0.699295,0.834278,0.409937	0.764451,0.907456,0.378222	-0.119751,0.136516,10.262659	0.699295,0.834278,0.409937	3.75835776329
