# Flight Log 
# 25 08 17 - 18:38:56
Time		X,Y,Z				goalX,goalY,goalZ		ddx,ddy,ddz			angularx,angulary,angularz	battery
18:38:57	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0
18:38:57	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0
18:38:57	0.690719,0.830615,0.409040	0.769563,0.909644,0.380121	-0.134121,0.126936,10.305769	0.690719,0.830615,0.409040	0
18:38:57	0.689843,0.830944,0.409841	0.769576,0.909632,0.380089	-0.136516,0.124541,10.305769	0.689843,0.830944,0.409841	3.74252200127
18:38:57	0.690728,0.830601,0.409036	0.737545,0.909649,0.380185	-0.136516,0.126936,10.298584	0.690728,0.830601,0.409036	3.74780058861
18:38:57	0.690723,0.830595,0.409029	0.769549,0.909647,0.380203	-0.131726,0.126936,10.305769	0.690723,0.830595,0.409029	3.74252200127
18:38:57	0.689844,0.830946,0.409827	0.770089,0.909432,0.378371	-0.131726,0.129331,10.300979	0.689844,0.830946,0.409827	3.74252200127
18:38:57	0.689853,0.830953,0.409823	0.738090,0.909431,0.378379	-0.134121,0.124541,10.300979	0.689853,0.830953,0.409823	3.74780058861
18:38:57	0.689858,0.830945,0.409818	0.769564,0.909635,0.380116	-0.138911,0.122146,10.315349	0.689858,0.830945,0.409818	3.74780058861
18:38:57	0.690717,0.830598,0.409046	0.738096,0.909416,0.378349	-0.134121,0.126936,10.312954	0.690717,0.830598,0.409046	3.74780058861
18:38:57	0.689857,0.830947,0.409820	0.769562,0.909653,0.380149	-0.134121,0.131726,10.305769	0.689857,0.830947,0.409820	3.74780058861
18:38:58	0.690750,0.830589,0.409015	0.738095,0.909435,0.378408	-0.138911,0.126936,10.293794	0.690750,0.830589,0.409015	3.74780058861
18:38:58	0.690716,0.830608,0.409022	0.737559,0.909628,0.380139	-0.136516,0.126936,10.308164	0.690716,0.830608,0.409022	3.74780058861
18:38:58	0.690720,0.830649,0.409022	0.737570,0.909639,0.380156	-0.134121,0.124541,10.293794	0.690720,0.830649,0.409022	3.74780058861
18:38:58	0.689846,0.830972,0.409830	0.738000,0.909427,0.378784	-0.136516,0.131726,10.308164	0.689846,0.830972,0.409830	3.74780058861
18:38:58	0.689842,0.830971,0.409821	0.737569,0.909638,0.380075	-0.134121,0.122146,10.315349	0.689842,0.830971,0.409821	3.74780058861
18:38:58	0.690727,0.830604,0.409033	0.737574,0.909627,0.380100	-0.129331,0.134121,10.300979	0.690727,0.830604,0.409033	3.74780058861
18:38:58	0.690716,0.830599,0.409039	0.769573,0.909637,0.380102	-0.131726,0.126936,10.308164	0.690716,0.830599,0.409039	3.74780058861
18:38:58	0.690719,0.830617,0.409031	0.770109,0.909409,0.378320	-0.126936,0.134121,10.296189	0.690719,0.830617,0.409031	3.74780058861
18:38:58	0.690050,0.830961,0.409658	0.770018,0.909398,0.378700	-0.129331,0.052690,10.296189	0.690050,0.830961,0.409658	3.67917895317
18:38:58	0.689868,0.830929,0.409858	0.738014,0.909413,0.378567	-0.155676,0.148491,10.315349	0.689868,0.830929,0.409858	3.67390036583
18:38:59	0.689996,0.830964,0.409685	0.769565,0.909644,0.380067	-0.155676,0.110171,10.310559	0.689996,0.830964,0.409685	3.66862177849
18:38:59	0.690714,0.830581,0.409053	0.737565,0.909651,0.380173	-0.098196,0.148491,10.332114	0.690714,0.830581,0.409053	3.66334319115
18:38:59	0.690004,0.830963,0.409658	0.770100,0.909448,0.378372	-0.079036,0.153281,10.298584	0.690004,0.830963,0.409658	3.66334319115
18:38:59	0.690708,0.830593,0.409100	0.770018,0.909413,0.378642	-0.055085,0.117356,10.253079	0.690708,0.830593,0.409100	3.65278601646
18:38:59	0.690024,0.830953,0.409656	0.769557,0.909637,0.380170	-0.179626,0.028740,10.423125	0.690024,0.830953,0.409656	3.64222884178
18:38:59	0.690699,0.830627,0.409077	0.770002,0.909418,0.378592	-0.100591,0.059875,10.317744	0.690699,0.830627,0.409077	3.63695025444
18:38:59	0.689982,0.830978,0.409720	0.737568,0.909650,0.379919	-0.225132,0.239502,10.272239	0.689982,0.830978,0.409720	3.6316716671
18:38:59	0.690655,0.830621,0.409100	0.737983,0.909423,0.378732	-0.201182,0.361648,10.032737	0.690655,0.830621,0.409100	3.62111449242
18:38:59	0.690014,0.830981,0.409646	0.769561,0.909653,0.380287	-0.102986,0.179626,10.080637	0.690014,0.830981,0.409646	3.61583590508
18:38:59	0.689876,0.831010,0.409766	0.738047,0.909404,0.378511	-0.227527,0.052690,10.260264	0.689876,0.831010,0.409766	3.60527873039
18:39:00	0.690008,0.830943,0.409640	0.738009,0.909434,0.378829	-0.184417,0.160466,9.989626	0.690008,0.830943,0.409640	3.60000014305
18:39:00	0.690724,0.830571,0.408971	0.769636,0.909625,0.379899	-0.091011,0.244292,10.265054	0.690724,0.830571,0.408971	3.60000014305
