# Flight Log 
# 25 08 17 - 19:26:23
Time		X,Y,Z				goalX,goalY,goalZ		ddx,ddy,ddz			angularx,angulary,angularz	battery
19:26:23	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0
19:26:23	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0
19:26:23	0.695562,0.827337,0.410296	0.806370,0.941575,0.378418	-0.100591,0.098196,10.260264	0.695562,0.827337,0.410296	3.81642222404
19:26:23	0.696708,0.826334,0.409622	0.806906,0.941064,0.378172	-0.095801,0.100591,10.260264	0.696708,0.826334,0.409622	3.81642222404
19:26:23	0.696450,0.826440,0.410135	0.806416,0.941659,0.378503	-0.093406,0.095801,10.255474	0.696450,0.826440,0.410135	3.81642222404
19:26:23	0.695465,0.827361,0.410262	0.806419,0.941528,0.378752	-0.091011,0.098196,10.262659	0.695465,0.827361,0.410262	3.81642222404
19:26:23	0.696371,0.826539,0.410003	0.806465,0.941583,0.378671	-0.093406,0.102986,10.255474	0.696371,0.826539,0.410003	3.81642222404
19:26:23	0.696398,0.826446,0.410130	0.806897,0.941100,0.378057	-0.093406,0.098196,10.250684	0.696398,0.826446,0.410130	3.81642222404
19:26:23	0.696379,0.826541,0.410007	0.806377,0.941614,0.378414	-0.091011,0.098196,10.250684	0.696379,0.826541,0.410007	3.81642222404
19:26:24	0.695485,0.827354,0.410254	0.806465,0.941621,0.378671	-0.093406,0.093406,10.255474	0.695485,0.827354,0.410254	3.81642222404
19:26:24	0.696524,0.826455,0.410048	0.806913,0.941135,0.378119	-0.095801,0.100591,10.245894	0.696524,0.826455,0.410048	3.81642222404
19:26:24	0.695585,0.827341,0.410279	0.806964,0.941170,0.378227	-0.095801,0.100591,10.248289	0.695585,0.827341,0.410279	3.81642222404
19:26:24	0.695484,0.827360,0.410278	0.806890,0.941050,0.378131	-0.095801,0.095801,10.265054	0.695484,0.827360,0.410278	3.81642222404
19:26:24	0.695474,0.827362,0.410302	0.806386,0.941621,0.378426	-0.095801,0.095801,10.253079	0.695474,0.827362,0.410302	3.81642222404
19:26:24	0.695463,0.827354,0.410291	0.806501,0.941632,0.378787	-0.091011,0.100591,10.260264	0.695463,0.827354,0.410291	3.81642222404
19:26:24	0.695491,0.827357,0.410261	0.806464,0.941584,0.378670	-0.093406,0.102986,10.260264	0.695491,0.827357,0.410261	3.81642222404
19:26:24	0.696445,0.826535,0.409981	0.806376,0.941583,0.378460	-0.095801,0.100591,10.248289	0.696445,0.826535,0.409981	3.81642222404
19:26:24	0.696352,0.826549,0.410014	0.806469,0.941634,0.378678	-0.095801,0.100591,10.255474	0.696352,0.826549,0.410014	3.81642222404
19:26:24	0.696443,0.826531,0.409989	0.806500,0.941611,0.378752	-0.095801,0.100591,10.253079	0.696443,0.826531,0.409989	3.82170081139
19:26:25	0.695544,0.827345,0.410297	0.806387,0.941603,0.378477	-0.088616,0.102986,10.248289	0.695544,0.827345,0.410297	3.81642222404
19:26:25	0.696419,0.826442,0.410114	0.806902,0.941129,0.378133	-0.093406,0.095801,10.248289	0.696419,0.826442,0.410114	3.81642222404
19:26:25	0.696415,0.826436,0.410117	0.806377,0.941630,0.378442	-0.093406,0.091011,10.262659	0.696415,0.826436,0.410117	3.82170081139
19:26:25	0.695563,0.827342,0.410276	0.806470,0.941639,0.378709	-0.095801,0.095801,10.250684	0.695563,0.827342,0.410276	3.81642222404
19:26:25	0.695609,0.827404,0.410219	0.806386,0.941589,0.378461	-0.088616,0.102986,10.250684	0.695609,0.827404,0.410219	3.81642222404
19:26:25	0.695584,0.827332,0.410271	0.806459,0.941594,0.378680	-0.086221,0.098196,10.253079	0.695584,0.827332,0.410271	3.81642222404
19:26:25	0.696510,0.826458,0.410069	0.806886,0.941035,0.378071	-0.086221,0.098196,10.255474	0.696510,0.826458,0.410069	3.81642222404
19:26:25	0.695543,0.827353,0.410297	0.806885,0.941027,0.378050	-0.091011,0.093406,10.262659	0.695543,0.827353,0.410297	3.81642222404
19:26:25	0.696421,0.826441,0.410121	0.806378,0.941614,0.378427	-0.091011,0.093406,10.265054	0.696421,0.826441,0.410121	3.82170081139
19:26:25	0.696483,0.826423,0.410123	0.806899,0.941046,0.378121	-0.091011,0.098196,10.267449	0.696483,0.826423,0.410123	3.81642222404
19:26:26	0.696504,0.826469,0.410070	0.806459,0.941581,0.378658	-0.098196,0.095801,10.253079	0.696504,0.826469,0.410070	3.81642222404
19:26:26	0.695460,0.827359,0.410286	0.806380,0.941588,0.378443	-0.100591,0.100591,10.257869	0.695460,0.827359,0.410286	3.81642222404
19:26:26	0.695461,0.827367,0.410297	0.806917,0.941141,0.378124	-0.102986,0.100591,10.253079	0.695461,0.827367,0.410297	3.81642222404
19:26:26	0.695481,0.827353,0.410285	0.806887,0.941043,0.378114	-0.093406,0.102986,10.245894	0.695481,0.827353,0.410285	3.81642222404
19:26:26	0.695623,0.827397,0.410174	0.806462,0.941590,0.378682	-0.091011,0.098196,10.255474	0.695623,0.827397,0.410174	3.81642222404
19:26:26	0.695461,0.827370,0.410280	0.806919,0.941129,0.378097	-0.091011,0.100591,10.255474	0.695461,0.827370,0.410280	3.81642222404
19:26:26	0.696352,0.826549,0.410024	0.806456,0.941558,0.378654	-0.095801,0.105381,10.243499	0.696352,0.826549,0.410024	3.81642222404
19:26:26	0.696381,0.826532,0.409993	0.806896,0.941044,0.378120	-0.095801,0.098196,10.250684	0.696381,0.826532,0.409993	3.81642222404
19:26:26	0.696380,0.826541,0.409994	0.806917,0.941136,0.378104	-0.102986,0.100591,10.260264	0.696380,0.826541,0.409994	3.81642222404
19:26:26	0.695493,0.827355,0.410264	0.806880,0.941036,0.378078	-0.098196,0.105381,10.253079	0.695493,0.827355,0.410264	3.81642222404
19:26:27	0.696447,0.826525,0.409977	0.806891,0.941025,0.378072	-0.098196,0.110171,10.260264	0.696447,0.826525,0.409977	3.81642222404
19:26:27	0.695611,0.827405,0.410229	0.806499,0.941617,0.378760	-0.093406,0.091011,10.253079	0.695611,0.827405,0.410229	3.82170081139
19:26:27	0.696470,0.826569,0.409940	0.806909,0.941119,0.378112	-0.095801,0.095801,10.260264	0.696470,0.826569,0.409940	3.81642222404
19:26:27	0.695480,0.827354,0.410276	0.806908,0.941036,0.378087	-0.095801,0.093406,10.250684	0.695480,0.827354,0.410276	3.81642222404
19:26:27	0.695465,0.827358,0.410278	0.806807,0.940875,0.377506	-0.100591,0.102986,10.245894	0.695465,0.827358,0.410278	3.81642222404
19:26:27	0.696481,0.826431,0.410112	0.806908,0.941037,0.378073	-0.100591,0.091011,10.255474	0.696481,0.826431,0.410112	3.81642222404
19:26:27	0.696368,0.826544,0.410009	0.806376,0.941587,0.378455	-0.102986,0.102986,10.253079	0.696368,0.826544,0.410009	3.81642222404
19:26:27	0.696427,0.826541,0.410001	0.806461,0.941591,0.378674	-0.098196,0.102986,10.253079	0.696427,0.826541,0.410001	3.81642222404
19:26:27	0.696417,0.826431,0.410121	0.806458,0.941590,0.378685	-0.095801,0.100591,10.255474	0.696417,0.826431,0.410121	3.81642222404
19:26:27	0.695572,0.827343,0.410271	0.806505,0.941682,0.378806	-0.100591,0.100591,10.257869	0.695572,0.827343,0.410271	3.81642222404
19:26:28	0.696403,0.826444,0.410134	0.806381,0.941627,0.378452	-0.102986,0.098196,10.250684	0.696403,0.826444,0.410134	3.81642222404
19:26:28	0.695471,0.827366,0.410309	0.806959,0.941092,0.378186	-0.095801,0.098196,10.260264	0.695471,0.827366,0.410309	3.81642222404
19:26:28	0.696366,0.826540,0.410013	0.806913,0.941054,0.378131	-0.088616,0.102986,10.262659	0.696366,0.826540,0.410013	3.81642222404
19:26:28	0.696383,0.826543,0.409981	0.806389,0.941634,0.378456	-0.093406,0.102986,10.257869	0.696383,0.826543,0.409981	3.82170081139
19:26:28	0.695436,0.827374,0.410313	0.806465,0.941633,0.378707	-0.098196,0.102986,10.253079	0.695436,0.827374,0.410313	3.81642222404
19:26:28	0.696412,0.826445,0.410131	0.806896,0.941112,0.378073	-0.098196,0.098196,10.262659	0.696412,0.826445,0.410131	3.81642222404
19:26:28	0.696386,0.826438,0.410137	0.806463,0.941577,0.378567	-0.088616,0.098196,10.253079	0.696386,0.826438,0.410137	3.81642222404
19:26:28	0.696390,0.826581,0.409979	0.806806,0.940883,0.377443	-0.129331,0.059875,10.255474	0.696390,0.826581,0.409979	3.74780058861
19:26:28	0.696415,0.826502,0.409962	0.806365,0.941614,0.378401	-0.057480,0.071851,10.229128	0.696415,0.826502,0.409962	3.74780058861
19:26:28	0.696417,0.826528,0.410034	0.806393,0.941623,0.378569	-0.110171,0.119751,10.111772	0.696417,0.826528,0.410034	3.73724341393
19:26:29	0.696419,0.826409,0.410119	0.806495,0.941642,0.378748	-0.141306,0.165256,10.145303	0.696419,0.826409,0.410119	3.73196482658
19:26:29	0.696379,0.826433,0.410152	0.806369,0.941546,0.378305	-0.079036,0.129331,10.356064	0.696379,0.826433,0.410152	3.72668623924
19:26:29	0.696235,0.826603,0.410079	0.806443,0.941595,0.378644	-0.026345,0.064666,10.154883	0.696235,0.826603,0.410079	3.7214076519
19:26:29	0.696261,0.826643,0.410026	0.834370,0.970521,0.381959	-0.105381,0.155676,10.200388	0.696261,0.826643,0.410026	3.71612906456
19:26:29	0.696123,0.826492,0.410253	0.834355,0.970543,0.382222	-0.071851,0.239502,10.111772	0.696123,0.826492,0.410253	3.70557188988
19:26:29	0.696076,0.826564,0.410077	0.834355,0.970401,0.382268	-0.155676,-0.059875,9.999207	0.696076,0.826564,0.410077	3.70029330254
19:26:29	0.696160,0.826420,0.410159	0.834315,0.970385,0.382069	-0.028740,0.081431,10.257869	0.696160,0.826420,0.410159	3.68973612785
19:26:29	0.696129,0.826312,0.410149	0.834150,0.970404,0.381782	-0.107776,-0.011975,10.432705	0.696129,0.826312,0.410149	3.68445754051
19:26:29	0.696903,0.826214,0.409249	0.834127,0.971083,0.384719	0.069456,0.081431,10.528506	0.696903,0.826214,0.409249	3.67917895317
19:26:29	0.696249,0.826483,0.410077	0.834206,0.970434,0.382354	-0.052690,0.095801,10.243499	0.696249,0.826483,0.410077	3.66862177849
19:26:30	0.696639,0.826390,0.409894	0.834245,0.970971,0.382899	-0.138911,-0.014370,10.205178	0.696639,0.826390,0.409894	3.66334319115
19:26:30	0.696796,0.826457,0.409843	0.834242,0.971179,0.382879	-0.153281,-0.031135,10.183623	0.696796,0.826457,0.409843	3.65278601646
19:26:30	0.696808,0.826128,0.410032	0.833971,0.971145,0.382182	-0.126936,0.150886,10.049502	0.696808,0.826128,0.410032	3.64750742912
19:26:30	0.697460,0.825825,0.409422	0.833672,0.971138,0.382442	0.043110,0.004790,10.456655	0.697460,0.825825,0.409422	3.63695025444
19:26:30	0.697840,0.825525,0.409688	0.833266,0.972099,0.383753	-0.201182,0.122146,10.308164	0.697840,0.825525,0.409688	3.6316716671
19:26:30	0.697855,0.825113,0.409762	0.832901,0.971496,0.381949	-0.004790,0.069456,10.229128	0.697855,0.825113,0.409762	3.62111449242
19:26:30	0.697446,0.825103,0.410076	0.832813,0.971596,0.382505	-0.174836,0.124541,9.994417	0.697446,0.825103,0.410076	3.61055731773
19:26:30	0.697523,0.824526,0.410065	0.832390,0.971716,0.382608	-0.136516,0.134121,10.396780	0.697523,0.824526,0.410065	3.60527873039
19:26:30	0.697335,0.824473,0.410067	0.832126,0.971451,0.383098	-0.026345,0.232317,10.054292	0.697335,0.824473,0.410067	3.59472155571
19:26:30	0.698441,0.824350,0.409275	0.832195,0.971688,0.382681	-0.275427,-0.088616,10.363250	0.698441,0.824350,0.409275	3.58944296837
19:26:31	0.697595,0.822358,0.410037	0.830510,0.971273,0.383192	0.074246,0.371228,10.150093	0.697595,0.822358,0.410037	3.57888579369
19:26:31	0.698622,0.821490,0.409604	0.830351,0.971407,0.382507	-0.086221,0.268242,10.322534	0.698622,0.821490,0.409604	3.568328619
19:26:31	0.698825,0.820882,0.410156	0.828773,0.971953,0.382744	-0.004790,0.340093,10.279424	0.698825,0.820882,0.410156	3.55777144432
19:26:31	0.700066,0.820983,0.410086	0.828626,0.973381,0.382688	-0.045505,-0.229922,10.126143	0.700066,0.820983,0.410086	3.54721426964
19:26:31	0.701902,0.821239,0.410270	0.828556,0.975118,0.382176	-0.249082,-0.014370,10.305769	0.701902,0.821239,0.410270	3.53665685654
19:26:31	0.703087,0.822614,0.410029	0.829356,0.977098,0.383357	-0.031135,0.902922,10.015972	0.703087,0.822614,0.410029	3.52082109451
19:26:31	0.706442,0.824397,0.409874	0.830506,0.979817,0.381727	-0.052690,0.299377,9.896221	0.706442,0.824397,0.409874	3.51554250717
19:26:31	0.709822,0.826673,0.409668	0.831896,0.983611,0.381496	-0.349673,-0.091011,10.171648	0.709822,0.826673,0.409668	3.49970674515
19:26:31	0.714580,0.829208,0.409422	0.832788,0.988378,0.378939	0.016765,-0.081431,9.922566	0.714580,0.829208,0.409422	3.49442815781
19:26:31	0.720547,0.834228,0.411884	0.872848,0.960154,0.379424	-0.275427,0.756826,10.291399	0.720547,0.834228,0.411884	3.49442815781
19:26:32	0.730437,0.842332,0.415285	0.881568,0.967279,0.365327	0.009580,0.673000,10.229128	0.730437,0.842332,0.415285	3.49442815781
19:26:32	0.744269,0.854143,0.420204	0.856372,1.012051,0.486682	-0.265847,0.395178,10.200388	0.744269,0.854143,0.420204	3.45219945908
19:26:32	0.765930,0.870105,0.427565	0.907873,1.002061,0.466909	0.007185,0.282612,10.516531	0.765930,0.870105,0.427565	3.44164228439
19:26:32	0.798064,0.890072,0.434346	0.928234,1.033052,0.444554	0.232317,0.285007,10.365645	0.798064,0.890072,0.434346	3.42580652237
19:26:32	0.836344,0.912224,0.442087	0.983516,1.036281,0.421992	0.543669,0.107776,10.303374	0.836344,0.912224,0.442087	3.40997076035
19:26:32	0.873391,0.937165,0.450193	1.006377,1.074564,0.397308	0.119751,0.378413,10.665022	0.873391,0.937165,0.450193	3.39413499832
19:26:32	0.906772,0.964834,0.460889	1.033752,1.108404,0.501636	-0.285007,0.021555,10.420730	0.906772,0.964834,0.460889	3.37302064896
19:26:32	0.937753,0.993862,0.476290	1.063545,1.139576,0.458416	0.220342,0.009580,10.676997	0.937753,0.993862,0.476290	3.34662771225
19:26:32	0.965394,1.025578,0.497637	1.094703,1.167894,0.527009	-0.179626,0.613125,10.708132	0.965394,1.025578,0.497637	3.36774206161
19:26:32	0.995289,1.059445,0.517142	1.127982,1.197486,0.475962	-0.100591,0.586780,10.648257	0.995289,1.059445,0.517142	3.36774206161
