# Flight Log 
# 25 08 17 - 19:20:25
Time		X,Y,Z				goalX,goalY,goalZ		ddx,ddy,ddz			angularx,angulary,angularz	battery
19:20:25	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0
19:20:25	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0
19:20:25	0.677014,0.833845,0.409987	0.767134,0.939687,0.377975	-0.098196,0.117356,10.250684	0.677014,0.833845,0.409987	0
19:20:26	0.676992,0.833846,0.409999	0.767161,0.939695,0.377929	-0.098196,0.117356,10.250684	0.676992,0.833846,0.409999	0
19:20:26	0.677007,0.833843,0.409996	0.767152,0.939694,0.377998	-0.095801,0.131726,10.253079	0.677007,0.833843,0.409996	0
19:20:26	0.676976,0.833846,0.410020	0.767134,0.939687,0.378012	-0.093406,0.119751,10.253079	0.676976,0.833846,0.410020	3.93782997131
19:20:26	0.676980,0.833856,0.410024	0.767140,0.939683,0.377977	-0.093406,0.129331,10.253079	0.676980,0.833856,0.410024	3.93782997131
19:20:26	0.677009,0.833850,0.409987	0.767143,0.939687,0.377959	-0.088616,0.129331,10.248289	0.677009,0.833850,0.409987	3.93782997131
19:20:26	0.676983,0.833855,0.410001	0.767133,0.939694,0.378015	-0.093406,0.122146,10.255474	0.676983,0.833855,0.410001	3.93782997131
19:20:26	0.677002,0.833844,0.409993	0.767230,0.939688,0.377758	-0.093406,0.126936,10.260264	0.677002,0.833844,0.409993	3.93782997131
19:20:26	0.676993,0.833832,0.409997	0.767218,0.939688,0.377791	-0.100591,0.122146,10.250684	0.676993,0.833832,0.409997	3.93782997131
19:20:26	0.677002,0.833853,0.410002	0.766884,0.939712,0.378820	-0.098196,0.124541,10.267449	0.677002,0.833853,0.410002	3.93782997131
19:20:26	0.677009,0.833844,0.409987	0.767139,0.939687,0.377986	-0.093406,0.124541,10.262659	0.677009,0.833844,0.409987	3.93782997131
19:20:27	0.677573,0.833776,0.409497	0.766894,0.939715,0.378844	-0.093406,0.117356,10.257869	0.677573,0.833776,0.409497	3.93782997131
19:20:27	0.676965,0.833842,0.410007	0.767143,0.939692,0.377987	-0.093406,0.117356,10.257869	0.676965,0.833842,0.410007	3.93782997131
19:20:27	0.676989,0.833860,0.410004	0.766803,0.939724,0.379078	-0.098196,0.122146,10.260264	0.676989,0.833860,0.410004	3.93782997131
19:20:27	0.677544,0.833802,0.409510	0.767226,0.939684,0.377721	-0.098196,0.117356,10.253079	0.677544,0.833802,0.409510	3.93782997131
19:20:27	0.677012,0.833852,0.410004	0.767141,0.939693,0.377965	-0.083826,0.119751,10.248289	0.677012,0.833852,0.410004	3.93782997131
19:20:27	0.676991,0.833846,0.409989	0.767133,0.939697,0.378021	-0.091011,0.122146,10.248289	0.676991,0.833846,0.409989	3.93782997131
